LocaleIdentifier,FR
MsgOrderAddExtraItemTaxSavingWarning,La taxe personnalisée ne sera pas enregistrée sur le serveur mais attachée au produit de la commande.
MsgOrderAddExtraItemNoMatchFound,Aucune correspondance trouvée
MsgOrderExtraItem,Produit
BtnOrderAddItem,Ajouter un produit
MsgOrderAddItemCopying,Copie des produits
MsgOrderPrintReceiptsTitle,Imprimer des reçus
MsgOrderPrintReceiptsPrintWhat,La commande a des reçus de carte de crédit. Quels reçus souhaitez-vous imprimer?
MsgOrderPrintReceiptsSplitPrintWhat,Quels reçus souhaitez-vous imprimer?
BtnOrderPrintReceiptsGuest,Client
BtnOrderPrintReceiptsSummary,Résumé
BtnOrderPrintReceiptsCredit,Crédit
MsgOrderHappyHour,Happy Hour
MsgOrderRefundCustomer,Veuillez rembourser le client %@.
MsgOrderRefundCompleted,%@ remboursé à %@.
MsgOrderRefundToNewCard,Réessayer de recharger la carte cadeau
MsgOrderFailedToAddGiftCard,Échec dannulation de la carte cadeau
MsgOrderPrintReceiptTitle,Imprimer un reçu
MsgOrderPrintGiftReceiptTitle,Imprimer un reçu de cadeau
MsgOrderPrintReceiptActions,Souhaitez-vous imprimer un reçu?
MsgOrderPrintRefundReceiptForActions,Voulez-vous imprimer un reçu de remboursement pour %@?
MsgOrderPrintGiftReceiptActions,Voulez-vous imprimer un reçu de cadeau?
MsgOrderPrintInvoiceTitle,Options de facturation
MsgOrderPrintInvoiceActions,Comment souhaitez-vous obtenir votre facture?
MsgOrderPrintTypeTitle,Options d’impression
MsgOrderPrintTypeActions,Sélectionner un type de reçu: Reçu de commande ou Facture
BtnOrderPrintReceiptEmail,E-mail
BtnOrderPrintReceiptExpensify,Expensify
BtnOrderPrintReceiptSignature,Signature
MsgOrderCusomerSigned,Le client a signé.
MsgOrderInvoiceTemplateIsInvalid,Le modèle prédéfini de facture n’est pas valide.\nContactez le service client.
MsgOrderWaitLoayalTreeRewardsTitle,Service LoyalTree
MsgOrderLoaylTreeMsg,En attente d’une réponse de LoyalTree...
MsgOrderItemIsNotAFuelGradeCheckConfiguration,Ce produit n’est pas marqué comme carburant. Veuillez vérifier la configuration sur la console de gestion
MsgMistmatchInPriceBetweenFCAndPOS,Incohérence entre les prix du Contrôleur de l’avant-cours et le TPV pour le produit %@
MsgOrderSelectOwner,Sélectionner le titulaire
MsgOrderSelectEmployee,Sélectionner un employé
MsgOrderSelectProducts,Sélectionner les produits
MsgOrderSelectProductsForLayaway,Sélectionner les produits à retirer de l’inventaire
MsgOrderAddQuantity,Ajouter la quantité
MsgOrderSetQuantity,Définir la quantité
MsgOrderEnterQuantity,Saisir la quantité
MsgOrderQuantityCouldNotBeChanged,La quantité ne peut pas être modifiée.
MsgOrderSelectOrder,Sélectionner une commande
MsgOrderSelectTable,Sélectionner une table
MsgOrderReprint,Réimprimer
MsgOrderSendToKitchen,Envoyer en cuisine
MsgOrderReachedMaxQty,Nombre maximum de produits atteint. Impossible d’en rajouter un.
MsgOrderLocked,La commande a été modifiée par %@ sur le TPV %@.
MsgOrderLockedPrinting,L’impression de la commande est en cours.
MsgOrderChangedSaveFailed,La commande a été modifiée. Échec d’enregistrement.
MsgOrderSaveFailed,Échec d’enregistrement de la commande
MsgOrderCollisionDetected,La commande modifiée sur le TPV principal. Votre commande locale a été remplacée parce qu’elle diffère de l’originale.
MsgOrderCollisionDetectedItems,%d produit(s) supprimé (s).
MsgOrderCollisionDetectedPaymentsRefunds,%d paiement(s) local(aux) remboursé(s) totalisant %@\n.
MsgOrderCollisionDetectedPayments,%d paiement(s) local(aux) en trop pour un montant total de %@.\n Rembourser le trop-perçu ?
MsgOrderDeletedSaveFailed,La commande a été synchronisée avec le serveur  et retirée du TPV principal.
MsgOrderDeletedLoadFailed,La commande a été synchronisée avec le serveur  et retirée du TPV principal.
MsgOrderMainNotReachable,Impossible d’atteindre le TPV principal.
MsgOrderCloudNotReachable,Impossible de se connecter au serveur. Vérifiez votre connexion Internet!
MsgOrderLoadEmpty,La commande est vide et ne peut pas être chargée.
MsgOrderPrinting,L’impression de l’ordre N°%@
MsgOrderOnline,Commande en ligne
MsgOrderNotPrinted,NON IMPRIMÉE
MsgOrderInCorrect,INCORRECTE
MsgOrderNotFound,INTROUVABLE
MsgOrderSelectPrinter,Sélectionner l’imprimante
MsgOrderSelectLanguage,Choisir la langue pour les reçus
MsgOrderDefaultLanguage,Langue par défaut
MsgOrderSecondaryLanguage,Langue secondaire
MsgOrderHeldOrder,Commande suspendue
MsgOrderHeldOrders,Commandes suspendues
MsgOrderUnsyncedOrder,Commande non synchronisée
MsgOrderUnsyncedOrders,Commandes non synchronisées
MsgOrderOpenWebOrder,Commande en ligne
MsgOrderOpenWebOrders,Commande en ligne
MsgOrderUnprinted,Commandes non imprimées
MsgOrderUnprintedWebOrder,Commande web non imprimée
MsgOrderUnprintedWebOrders,Commandes web non imprimées
MsgOrderDeliveryCharge,Frais de livraison
MsgOrderIsNotFullyPaid,La commande actuelle n'est pas payée en totalité. Payez d'abord le solde restant.
MsgOrderTargetTableHasOrder,Une commande est ouverte sur %@. Le %@ sélectionné sera intégré à la commande.  Poursuivre?
MsgOrderBagCharge,Frais de sac
MsgOrderEnterSerialNumber,Saisir le numéro de série
MsgOrderEnterCallNumber,Saisir le numéro d’appel
MsgOrderEnterSerialNumberForProduct,Saisir le numéro de série pour: %@
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,Le numéro de série est vide.\nSaisissez un N/S valide
MsgOrderSerialNumberShort,N/S
MsgOrderFindOrdersBySerialNumber,Trouver des commandes par N/S
MsgOrderFoundProductsWithSN,Trouver des produits avec le N/S %@
MsgOrderProductWithIdNotFoundInDb,Impossible d'ajouter la formule “Combo”. \nLe produit avec l’id %d introuvable
MsgOrderSearchBySN,Commande par N/ :
MsgOrderSearchBySNFromAnotheEstablishment,"La commande %@ créée dans un autre établissement. Pour retourner ce produit, rendez-vous dans Paramètres/Retours"
MsgReceiptlessReturnSearchBySN,Trouver par N/S
MsgOrderSerialNumberMissingTitle,Numéro(s) de série manquant(s)
MsgOrderAddSerialNumbersBeforeContinuing,Remboursez le solde en trop avant la clôture.
MsgOrderNewInvoice,Nouvelle facture: %@
MsgOrderNewOrder,Nouvelle commande: %@
MsgOrderOrderedBy,Commandé par: %@
MsgOrderMaximumGeneralTitle,Nombre maximum de commandes atteint
MsgInvoiceMaximumGeneralTitle,Nombre maximum de factures atteint
MsgOrderMaximumGeneralMessage,poursuivre l’ajout de produits
MsgOrderMoveNotAllowedBecauseOfSplitBills,Impossible de fusionner la commande avec la facture
MsgPrintManagementTitle,Gestion de l'imprimante
MsgPrintManagementPrinterDetails,Détails de l’imprimante
MsgPrintManagementSetFontSize,Régler la taille de la police
MsgPrintInvalidConfig,Configuration d’imprimante non valide
MsgPrintReceiptOptionsTitle,Options d’impression de la recette
MsgPrintReceiptOptionsLabelSize,Taille
MsgPrintReceiptOptionsPrinterIPPort,Port IP de l’imprimante
MsgPrintReceiptOptionsWidth,Largeur
MsgPrintReceiptOptionsHeight,Hauteur
MsgPrintReceiptOptionsLargeLabel,Grande
MsgPrintReceiptOptionsSmallLabel,Petite
MsgPrintReceiptOptionsCustomLabel,Personnaliser l’étiquette
BtnPrintRedirect,Redirection
BtnPrintNoRedirect,Annuler\nla redirection
BtnPrintRedirectingTo,Redirection vers
BtnPrintRecipe,Recette
BtnPrintUseForLabels,Étiquette
BtnPrintLabelsOptions,Étiquette
MsgPrintFontNormal,Normal
MsgPrintFontLarge,Grande
MsgPrintPrinterNotResponding,L’imprimante ’%@’ ne répond pas. Vérifiez qu’elle est sous tension.
MsgPrintPrinterNotRespondingKiosk,Il y a un problème avec l’imprimante.  Veuillez passer au terminal de paiement.
MsgPrintCashDrawerNotResponding,Le tiroir-caisse ne répond pas. Vérifiez la connexion de l’imprimante.
MsgReceiptDeliveryTime,Heure de livraison
MsgReceiptPickupTime,Heure de ramassage
MsgOrderViewPickup,Ramassage
MsgReceiptASAPTime,Dès que possible
MsgReceiptDueDate,Date déchéance
MsgPrintLabelForItem,Imprimer l’étiquette pour le produit sélectionné
MsgPrintLabelForCategory,Imprimer l'étiquette de catégorie
MsgPrintLabelNoBarcode,Le produit ne possède pas de code-barres.
MsgPrintLabelQuantity,Quantité
MsgPrintLabelEnterQuantity,Saisir la quantité
MsgLabelPrinterIsNotSet,L’imprimante d’étiquettes n’est pas définie.
MsgPrintLabelOptionsTitle,Options d’impression
MsgLabelType,Type
MsgPrintLabelOptionsPrintName,Imprimer le nom
MsgPrintLabelOptionsPrintPrice,Imprimer le prix
MsgPrintLabelOptionsWidth,Largeur
MsgPrintLabelOptionsHeight,Hauteur
MsgPrintLabelOptionsPricingLabel,Étiquette de prix
MsgPrintLabelOptionsStockLabel,Étiquette de stock
MsgPrintLabelOptionsJewelry,Bijouterie
MsgOrderReceiptTitle,Reçu
MsgOrderGiftReceiptTitle,Reçu du cadeau
MsgOrderVoidReceiptTitle,Reçu d’annulation
MsgOrderExchangeReceiptTitle,Reçu d’échange
MsgReceiptPaymentLog,Journal des paiements
MsgReceiptDailyPaymentLog,Journal de paiements journaliers
MsgReceiptTotalPaymentReceipt,Rapport du total des paiements
MsgReceiptCashLog,Journal des espèces
MsgReceiptCashLogStartingCash,Fonds de caisse de départ
MsgReceiptCashLogPayoutAmount,Montant du retrait
MsgReceiptCashLogPayInAmount,Montant du dépôt
MsgReceiptCashLogSafeDropAmount,Montant du dépôt dans le coffre-fort
MsgReceiptCashLogCoinsDispensed,Pièces distribuées
MsgReceiptCashLogTotal,Total en espèces
MsgReceiptCashLogExpectedCashInTill,Espèces attendues en caisse
MsgReceiptCashLogCheckOut,Journal des espèces pour la caisse
MsgReceiptCashLogCheckOutStartingCash,Total du fonds de caisse de départ
MsgReceiptCashLogCheckOutPayoutAmount,Montant du retrait
MsgReceiptCashLogCheckOutPayInAmount,Montant du dépôt
MsgReceiptCashLogCheckOutCoinsDispensed,Pièces distribuées
MsgReceiptCashLogCheckOutCashTransactions,Transactions en espèces
MsgReceiptCashLogCheckOutExpectedCashInTill,Espèces attendues en caisse
MsgReceiptCashLogCheckOutEndingCashTotal,Total du fonds de caisse de fin
MsgReceiptCashLogCheckOutDifference,Différence
MsgReceiptCashLogCheckOutBankDrop,Dépôt bancaire
MsgReceiptCashLogOpenedBy,Ouvert par
MsgReceiptCashLogHeldBy,Suspendu par
MsgReceiptCashLogClosedBy,Fermé par
MsgReceiptCashLogPayOut,Retrait
MsgReceiptCashLogPayIn,Dépôt
MsgReceiptMadeBy,Réalisé par
MsgTillsOwnedBy,Assignée à
MsgReceiptGiftCardCertificateNumber,Numéro de certificat
MsgReceiptGiftCardAuthNumber,Numéro d’authentification
MsgReceiptGiftCardLoadAmount,Montant chargé
MsgReceiptGiftCardLoadBonusAmount,Le montant du bonus a été ajouté
MsgReceiptGiftCardLoadBonusPercentage,% Bonus
MsgReceiptGiftCardOriginalBalance,Solde initial
MsgReceiptGiftCardBalance,Solde
MsgReceiptSafeDrop,Dépôt dans le coffre-fort
MsgReceiptBankDropAmountOfDropTotal,Montant total du dépôt bancaire
MsgReceiptBankDropSignedBy,Signé par
MsgReceiptOfflineMode,MODE HORS LIGNE
MsgReceiptSaveYourReceipt,ENREGISTREZ VOTRE REÇU.
MsgReceiptClockInTime,Heure de pointage à l’arrivée
MsgReceiptClockOutTime,Heure de pointage au départ
MsgReceiptPresentReceiptToManager,PRÉSENTEZ CE REÇU À VOTRE RESPONSABLE.
MsgTimeSheetOfflineMode,Vous êtes en mode hors ligne.\nEnregistrez votre reçu.
MsgReceiptHotspotTitle,CODE DE LA BORNE WI-FI
MsgReceiptHotspotCode,Code
MsgReceiptHotspotDuration,Durée (minutes)
MsgReceiptCheckInTimeCheckIn,Heure pointée à l’arrivée
MsgReceiptCheckInTimeCheckOut,Heure pointée au départ
MsgReceiptCheckInCheckIn,Pointé à l’arrivée
MsgReceiptCheckInCheckOut,Pointé au départ
MsgReceiptCheckInCheckInError,Erreur : l’employé n’a pas pointé à la fin de son \nservice précédent.
MsgReceiptCheckInCheckOutError,Erreur : l’employé n’a pas pointé à l’arrivée de son \nservice précédent.
MsgReceiptOther,Autres
MsgReceiptCurrencyPlural,Euros
MsgReceiptCurrencySingular,Euro
MsgReceiptCurrencyTitlePlural,Monnaies
MsgReceiptDatetime,Heure et Date
MsgReceiptPersonLoggedIn,Connecté
MsgReceiptPrinter,Imprimante
MsgReceiptOriginal,Original
MsgReceiptRemaining,Restant
MsgReceiptOrder,Commande
MsgReceiptInvoice,Facture
MsgReceiptEmployee,Employé
MsgReceiptRole,Rôle
MsgReceiptName,Nom
MsgReceiptDate,Date
MsgReceiptTime,Heure
MsgReceiptHours,Heures
MsgReceiptTotalHours,Nombre total d’heures
MsgReceiptCallNumber,Numéro d’appel
MsgReceiptCallName,Nom d’appel
MsgReceiptTable,Table
MsgReceiptBarTab,Note de bar
MsgReceiptCustomer,Client
MsgReceiptCustomerShort,Clt
MsgReceiptServer,Serveur
MsgReceiptTransaction,Transaction
MsgReceiptPaidWith,Payé par
MsgReceiptBill,Addition
MsgReceiptTotal,Total
MsgReceiptExchangeValue,Valeur d’échange
MsgReceiptReturnValue,Retourné
MsgReceiptAppliedDeposit,Acompte appliqué
MsgReceiptSumTotal,Somme totale
MsgReceiptSumTotal2,Somme totale:
MsgReceiptServiceCharge,Frais de gestion
MsgReceiptOnlineTip,En ligne 
MsgReceiptReceiptServiceCharge,Reçu des frais de gestion
MsgReceiptCash,Espèces
MsgReceiptCredit,Crédit
MsgReceiptPreAuth,Pré-autorisation
MsgReceiptTermID,Térm. ID
MsgReceiptAuthCode,Code d'autorisation
MsgReceiptSeq,Séq
MsgReceiptAccountNumber,Numéro de compte
MsgReceiptEntryMethod,Méthode de saisi
MsgReceiptCardBrand,Marque de la carte
MsgReceiptGiftCard,Carte cadeau
MsgReceiptRewardCard,Carte de fidélité
MsgReceiptCreditCard,Carte de crédit
MsgReceiptCreditPlus,Crédit +
MsgReceiptDeposit,Acompte
MsgReceiptCheck,Chèque
MsgReceiptGiftCert,Certificat-cadeau
MsgReceiptGift,Cadeau
MsgReceiptTax,Taxe
MsgReceiptTip,Pourboire
MsgReceiptIndex,Index
MsgReceiptDiscount,Réduction
MsgReceiptStation,Terminal
MsgReceiptPrintedAt,Imprimé sur
MsgReceiptSpecialRequest,Demande spéciale
MsgReceiptSpecialInstructon,Instructions spéciales
MsgReceiptSignatureAndTotal,Signature et total
MsgReceiptReceiptOptions,Options du reçu
MsgReceiptReceiptHowWouldYouLike,Comment souhaitez-vous obtenir votre reçu?
MsgReceiptSignature,Signature
MsgReceiptCashier,Caissier
MsgReceiptReportPrintedBy,Reçu imprimé
MsgReceiptAgreementLine1,J’accepte de payer le montant total ci-dessus
MsgReceiptAgreementLine2,selon l’accord conclu avec l’émetteur de la carte.
MsgReceiptBreakdown,Répartition
MsgReceiptBreakdownNet,NET
MsgReceiptBreakdownTax,TAXE
MsgReceiptBreakdownGross,Brut
MsgReceiptSeatCount,Nombre de places
MsgReceiptNotes,NOTES
MsgReceiptTableOwner,Serveur
MsgReceiptTakenBy,Pris par
MsgReceiptGiftCardNumber,Numéro de la carte cadeau
MsgReceiptRewardCardNumber,Le numéro de la carte de fidélité
MsgReceiptUnknown,Inconnu
MsgReceiptCardBalance,Solde de la carte
MsgReceiptPointBalance,Solde des points
MsgReceiptVisitsBalance,Solde des visites
MsgReceiptPurchasesBalance,Solde des achats
MsgReceiptAuthNumber,Numéro d’authentification
MsgReceiptSaleAmount,Montant de la vente
MsgReceiptBalanceUsed,Solde utilisé
MsgReceiptBalanceDue,Solde dû
MsgReceiptOrderBalanceDue,Solde dû de la commande
MsgReceiptOrderBalanceDueCut,Commande due
MsgReceiptCustomerPaid,Paiement du client
MsgReceiptCustomerChange,Rendu monnaie du client
MsgReceiptDeliverTo,À livrer à
MsgReceiptTotalTax,TTC
MsgReceiptCashRoundingDelta,Arrondi
MsgReceiptSeat,Place
MsgReceiptOfSale,de la vente :
MsgReceiptSuggestedTips,Pourboires suggérés
MsgReceiptIncluded,Inclus
MsgReceiptPayPal,PayPal
MsgReceiptTipIncludesAutoGratuity,Le pourboire inclus le pourboire automatique:
MsgReceiptAwardedPoints,Points attribués
MsgReceiptNewProducts,Nouveaux produits
MsgReceiptNewProductsName,Nom
MsgReceiptNewProductsBarcode,Code-barres
MsgReceiptNewProductsUnitOfMeasure,Unité de mesure
MsgReceiptNewProductsInventoryQuantity,Quantité de l’inventaire
MsgReceiptNewProductsPrice,Prix
MsgReceiptNewProductsTax,Taxe
MsgReceiptNewProductsEmbedded,Prix incorporé
MsgReceiptNewProductsSoldByWeight,Vendus au poids
MsgReceiptNewProductWouldYouLike,Souhaitez-vous créer un nouveau produit avec le code-barres orphelin?
MsgReceiptReceiptlessReturnReceiptTotalCash,Total en espèces:
MsgReceiptReceiptlessReturnReceiptTotalCredit,Total avoir:
MsgReceiptReceiptlessReturnReceiptProductName,Produit
MsgReceiptReceiptlessReturnReceiptReturn,Retour
MsgReceiptReceiptlessReturnReceiptTax,Taxe
MsgReceiptReceiptlessReturnReceiptTotal,Total
MsgReceiptDelivery,Livraison
MsgReceiptDeliveryDate,Date de livraison
MsgReceiptCustomerCopy,Copie du client
MsgReceiptMerchantCopy,Copie du commerçant
MsgReceiptEach,Prix unit.
MsgReceiptTaxOnSurchargeFormat,%@ sur %@
MsgReceiptSurcharge,Supplément
MsgReceiptUntaxed,Non taxé
MsgReceiptMiscTax,Divers
MsgReceiptPrevailingTax,Taxe en vigueur
MsgReceiptTaxBreakdownTitle,Répartition de la taxe
MsgReceiptTaxBreakdownTotal,Total
MsgReceiptTaxBreakdownRate,Taux
MsgReceiptTaxRebate,Rabais de taxe
MsgReceiptBadgeTotal,La commande est autorisée et sera ajoutée à la note du serveur du groupe.\nCalcul du total du groupe : %@
MsgReceiptVatNumber,Numéro de TVA
MsgReceiptYouSaved,Vous avez économisé
MsgReceiptPriceIncludesTaxes,Le prix inclut les taxes.
MsgReceiptTotalTaxesCollected,Total des taxes collectées :
MsgWaitingForTipSelection,En attente de la sélection du pourboire
MsgWaitingForSignature,En attente de la signature
MsgWaitingForRedeemRewards,En attente du choix du client pour la récompense
MsgWaitingForReceiptSelection,En attente de la sélection du reçu
MsgWaitingForEmailEntry,En attente de l’entrée de l’e-mail
MsgOverridingTheDisplayUnit,Forcer l’unité d’affichage va rediriger des invites dUA vers le TPV. Poursuivre?
MsgCall,Appel n°
MsgReceiptOriginalReceipt,Reçu original
MsgReceiptOnSpotGift,Cadeau sur place
MsgReceiptCancelledOrder,Commande annulée
MsgReceiptTotalRedeemedPoints,Total des points utilisés
MsgReceiptYourCurrentBalance,Votre solde actuel
MsgReceiptOrderNumber,Commande n°%@
MsgReceiptMoved,DÉPLACÉ
MsgReceiptMovedTo,déplacé vers
MsgReceiptToDestination,VERS LA DESTINATION
MsgReceiptPaymentTotal,Journal des paiements
MsgReceiptProductForecastingStartOfReport,Imprimer les rapports fiscaux
MsgReceiptProductForecastingEndOfReport,Fin du mois
MsgReceiptProductForecastingTotalsForDay,Au total
MsgReceiptProductForecastingNextDay,Suivant
MsgReceiptProductForecastingPrior,Priority
MsgReceiptProductForecastingNotificationBody,Imprimer le rapport
MsgReceiptProductForecastingStartOfDay,Date de début
MsgReceiptProductForecastingTimeSlot,Tranche horaire
MsgBarTabTitle,Note de bar N°%d
MsgBarTabsTitle,Notes de bar %@
MsgBarTabsFindTitle,Trouver la note
MsgOrderSelectTitle,Sélectionner la commande
