LocaleIdentifier,IT
MsgOrderPrintReceiptsSplitPrintWhat,Quale ricevute desideri stampare?
BtnOrderPrintReceiptsGuest,Ospite
BtnOrderPrintReceiptsSummary,Riepilogo
BtnOrderPrintReceiptsCredit,Credito
MsgOrderHappyHour,Happy Hour
MsgOrderRefundCustomer,Rimborsa al cliente %@.
MsgOrderRefundCompleted,%@ rimborsato a %@.
MsgOrderRefundToNewCard,Riprova carico carta regalo
MsgOrderFailedToAddGiftCard,Impossibile annullare la carta regalo.
MsgOrderPrintReceiptTitle,Stampa la ricevuta
MsgOrderPrintGiftReceiptTitle,Stampa ricevuta regalo
MsgOrderPrintReceiptActions,Desideri stampare una ricevuta?
MsgOrderPrintRefundReceiptForActions,Vuoi stampare una ricevuta di rimborso per %@?
MsgOrderPrintGiftReceiptActions,Vuoi stampare una ricevuta regalo?
MsgOrderPrintInvoiceTitle,Opzioni di fattura
MsgOrderPrintInvoiceActions,Come vorresti ricevere la fattura?
MsgOrderPrintTypeTitle,Opzioni stampa
MsgOrderPrintTypeActions,Seleziona il tipo di ricevimento: Ricevuta ordine o fattura
BtnOrderPrintReceiptEmail,E-mail
BtnOrderPrintReceiptExpensify,Expensify
BtnOrderPrintReceiptSignature,Firma
MsgOrderCusomerSigned,Firmato dal cliente
MsgOrderInvoiceTemplateIsInvalid,Modello fattura non valido.\nContatta l’assistenza clienti.
MsgOrderWaitLoayalTreeRewardsTitle,Servizio LoyalTree
MsgOrderLoaylTreeMsg,In attesa di risposta da LoyalTree...
MsgOrderItemIsNotAFuelGradeCheckConfiguration,L’articolo non segnato come grado carburante. Controlla la configurazione del backend
MsgMistmatchInPriceBetweenFCAndPOS,"Disaccordo del prezzo tra controllore dell'area di rifornimento e il POS, per prodotto %@"
MsgOrderSelectOwner,Seleziona addetto tavolo
MsgOrderSelectEmployee,Seleziona un dipendente
MsgOrderSelectProducts,Seleziona i prodotti
MsgOrderSelectProductsForLayaway,Seleziona i prodotti da rimuovere dall’inventario
MsgOrderAddQuantity,Aggiungi la quantità
MsgOrderSetQuantity,Imposta la quantità
MsgOrderEnterQuantity,Inserisci la quantità
MsgOrderQuantityCouldNotBeChanged,La quantità non può essere modificata.
MsgOrderSelectOrder,Seleziona un ordine
MsgOrderSelectTable,Seleziona un tavolo
MsgOrderReprint,Ristampa
MsgOrderSendToKitchen,Invia a cucina
MsgOrderReachedMaxQty,Numero massimo di prodotti raggiunto. Impossibile aggiungere ulteriori prodotti a questo ordine.
MsgOrderLocked,L’ordine è stato modificato da %@ sul POS %@.
MsgOrderLockedPrinting,Processo di stampa ordine in corso.
MsgOrderChangedSaveFailed,L’ordine è stato modificato. Salvataggio non riuscito.
MsgOrderSaveFailed,Salvataggio ordine non riuscito
MsgOrderCollisionDetected,L’ordine è stato modificato sul POS principale. L’ordine locale è stato sovrascritto perchè è diverso dalla copia principale.
MsgOrderCollisionDetectedItems,%d articolo(i) cancellato(i).
MsgOrderCollisionDetectedPaymentsRefunds,%d pagamento(i) rimborsato(i) localmente per un totale di %@\n.
MsgOrderCollisionDetectedPayments,%d eccede l’importo totale del(i) pagamento(i) locale(i) %@.\nDesideri rimborsare i pagamenti in eccesso?
MsgOrderDeletedSaveFailed,L’ordine è stato sincronizzato con il cloud server ed è stato rimosso dal POS principale.
MsgOrderDeletedLoadFailed,L’ordine è stato sincronizzato con il cloud server ed è stato rimosso dal POS principale.
MsgOrderMainNotReachable,Non è possibile raggiungere il POS principale.
MsgOrderCloudNotReachable,Non è possibile connettersi al cloud server. Controlla la connessione di rete.
MsgOrderLoadEmpty,L’ordine è vuoto e non può essere caricato.
MsgOrderPrinting,Stampa ordine n.%@
MsgOrderOnline,Ordine on-line
MsgOrderNotPrinted,NON STAMPATO
MsgOrderInCorrect,ERRATO
MsgOrderNotFound,NON TROVATO
MsgOrderSelectPrinter,Seleziona la stampante
MsgOrderSelectLanguage,Scegli la lingua per le ricevute
MsgOrderDefaultLanguage,Lingua predefinita
MsgOrderSecondaryLanguage,Lingua secondaria
MsgOrderHeldOrder,Ordine sospeso
MsgOrderHeldOrders,Ordini sospesi
MsgOrderUnsyncedOrder,Ordine non sincronizzato
MsgOrderUnsyncedOrders,Ordini non sincronizzati
MsgOrderOpenWebOrder,Ordine on-line
MsgOrderOpenWebOrders,Ordine on-line
MsgOrderUnprinted,Ordini non stampati
MsgOrderUnprintedWebOrder,Ordine web non stampato
MsgOrderUnprintedWebOrders,Ordini web non stampati
MsgOrderDeliveryCharge,Costo di consegna
MsgOrderIsNotFullyPaid,L’ordine corrente non è stato interamente pagato. Effettua il pagamento del importo residuo.
MsgOrderTargetTableHasOrder,C’è un ordine aperto su %@. %@ selezionato verrà incluso in quell’ordine. Procedi?
MsgOrderBagCharge,Costo sacchetto
MsgOrderEnterSerialNumber,Inserisci il numero di serie
MsgOrderEnterCallNumber,Inserisci il numero di chiamata
MsgOrderEnterSerialNumberForProduct,Inserisci il numero di serie per %@
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,Il numero di serie non esiste. \nInserisci un numero di serie valido.
MsgOrderSerialNumberShort,SN
MsgOrderFindOrdersBySerialNumber,Trova ordini con il numero di serie
MsgOrderFoundProductsWithSN,Trova prodotti con numero di serie %@
MsgOrderProductWithIdNotFoundInDb,Impossibile aggiungere combo. \nProdotto con ID  “%d” non trovato.
MsgOrderSearchBySN,Ordini con SN: 
MsgOrderSearchBySNFromAnotheEstablishment,"Ordine %@ è stato creato in un altro punto vendita. Se è necessario restituire questo articolo, vai alla voce “Impostazioni/Resi”."
MsgReceiptlessReturnSearchBySN,Trova con SN
MsgOrderSerialNumberMissingTitle,Numero(i) di serie mancante(i)
MsgOrderAddSerialNumbersBeforeContinuing,Rimborsa strapagato prima di chiudere l’ordine.
MsgOrderNewInvoice,Nuova fattura: %@
MsgOrderNewOrder,Nuovo ordine: %@
MsgOrderOrderedBy,Ordinato da: %@
MsgOrderMaximumGeneralTitle,Massimo dell’ordine raggiunto
MsgInvoiceMaximumGeneralTitle,Massimo della fattura raggiunto
MsgOrderMaximumGeneralMessage,Continua ad aggiungere articoli
MsgOrderMoveNotAllowedBecauseOfSplitBills,Impossibile unire l’ordine con la fattura.
MsgPrintManagementTitle,Gestione della stampante
MsgPrintManagementPrinterDetails,Dettagli stampante
MsgPrintManagementSetFontSize,Imposta dimensioni del carattere
MsgPrintInvalidConfig,Configurazione della stampante non valida
MsgPrintReceiptOptionsTitle,Opzioni di stampa ricetta
MsgPrintReceiptOptionsLabelSize,Dimensioni etichetta
MsgPrintReceiptOptionsPrinterIPPort,Porta IP della stampante
MsgPrintReceiptOptionsWidth,Larghezza
MsgPrintReceiptOptionsHeight,Altezza
MsgPrintReceiptOptionsLargeLabel,Grande
MsgPrintReceiptOptionsSmallLabel,Piccolo
MsgPrintReceiptOptionsCustomLabel,Etichetta personalizzata
BtnPrintRedirect,Reindirizza
BtnPrintNoRedirect,Annulla\nreindirizza
BtnPrintRedirectingTo,Reindirizzamento a
BtnPrintRecipe,Ricetta
BtnPrintUseForLabels,Etichetta
BtnPrintLabelsOptions,Opzioni etichetta
MsgPrintFontNormal,Normale
MsgPrintFontLarge,Grande
MsgPrintPrinterNotResponding,La stampante  %@ non risponde. Conferma che la stampante sia collegata.
MsgPrintPrinterNotRespondingKiosk,Problema con la stampante. Procedi alla stazione di pagamento.
MsgPrintCashDrawerNotResponding,Cassetto bloccato. Controlla la connessione con la stampante.
MsgReceiptDeliveryTime,Ora di consegna
MsgReceiptPickupTime,Ora del ritiro
MsgOrderViewPickup,Ritiro
MsgReceiptASAPTime,PRIMA POSSIBILE
MsgReceiptDueDate,Data di scadenza
MsgPrintLabelForItem,Stampa etichetta per articolo selezionato
MsgPrintLabelForCategory,Stampa etichetta per categoria
MsgPrintLabelNoBarcode,Il prodotto non dispone di un codice a barre.
MsgPrintLabelQuantity,Quantità
MsgPrintLabelEnterQuantity,Inserisci la quantità
MsgLabelPrinterIsNotSet,La stampante di etichette non è impostata.
MsgPrintLabelOptionsTitle,Opzioni di stampa etichetta
MsgLabelType,Tipo di etichetta
MsgPrintLabelOptionsPrintName,Stampa nome
MsgPrintLabelOptionsPrintPrice,Stampa prezzo
MsgPrintLabelOptionsWidth,Larghezza
MsgPrintLabelOptionsHeight,Altezza
MsgPrintLabelOptionsPricingLabel,Etichetta prezzo
MsgPrintLabelOptionsStockLabel,Etichetta magazzino
MsgPrintLabelOptionsJewelry,Gioielleria
MsgOrderReceiptTitle,Ricevuta
MsgOrderGiftReceiptTitle,Ricevuta regalo
MsgOrderVoidReceiptTitle,Ricevuta annullamento
MsgOrderExchangeReceiptTitle,Ricevuta scambio
MsgReceiptPaymentLog,Registro di pagamento
MsgReceiptDailyPaymentLog,Registro dei pagamenti giornalieri
MsgReceiptTotalPaymentReceipt,Report di pagamento totale
MsgReceiptCashLog,Registro di cassa
MsgReceiptCashLogStartingCash,Contante iniziale
MsgReceiptCashLogPayoutAmount,Importo contante in uscita
MsgReceiptCashLogPayInAmount,Importo contante in entrata
MsgReceiptCashLogSafeDropAmount,Importo deposito bancario
MsgReceiptCashLogCoinsDispensed,Monete erogate
MsgReceiptCashLogTotal,Totale contante
MsgReceiptCashLogExpectedCashInTill,Contante previsto in cassa
MsgReceiptCashLogCheckOut,Registro di cassa per il controllo
MsgReceiptCashLogCheckOutStartingCash,Totale contante iniziale
MsgReceiptCashLogCheckOutPayoutAmount,Importo contante in uscita
MsgReceiptCashLogCheckOutPayInAmount,Importo contante in entrata
MsgReceiptCashLogCheckOutCoinsDispensed,Monete erogate
MsgReceiptCashLogCheckOutCashTransactions,Transazioni in contanti
MsgReceiptCashLogCheckOutExpectedCashInTill,Contante previsto in cassa
MsgReceiptCashLogCheckOutEndingCashTotal,Totale cassa finale
MsgReceiptCashLogCheckOutDifference,Differenza
MsgReceiptCashLogCheckOutBankDrop,Ricavo a depositare in banca
MsgReceiptCashLogOpenedBy,Aperto da
MsgReceiptCashLogHeldBy,Sospeso da
MsgReceiptCashLogClosedBy,Chiuso da
MsgReceiptCashLogPayOut,Contante in uscita
MsgReceiptCashLogPayIn,Contante in entrata
MsgReceiptMadeBy,Realizzato da
MsgTillsOwnedBy,Addetto
MsgReceiptGiftCardCertificateNumber,Numero di cerificato
MsgReceiptGiftCardAuthNumber,Numero di autorizzazione
MsgReceiptGiftCardLoadAmount,Carica importo
MsgReceiptGiftCardLoadBonusAmount,Carica importo Bonus
MsgReceiptGiftCardLoadBonusPercentage,% Bonus
MsgReceiptGiftCardOriginalBalance,Saldo originale
MsgReceiptGiftCardBalance,Saldo
MsgReceiptSafeDrop,Deposito bancario
MsgReceiptBankDropAmountOfDropTotal,Importo totale
MsgReceiptBankDropSignedBy,Firmato da
MsgReceiptOfflineMode,MODALITÀ OFF-LINE
MsgReceiptSaveYourReceipt,SALVA LA RICEVUTA
MsgReceiptClockInTime,Ora di clock-in
MsgReceiptClockOutTime,Ora di clock-out
MsgReceiptPresentReceiptToManager,PRESENTA QUESTA RICEVUTA AL TUO RESPONSABILE
MsgTimeSheetOfflineMode,Sei in modalità off-line.\nSalva la ricevuta.
MsgReceiptHotspotTitle,CODICE HOTSPOT
MsgReceiptHotspotCode,Codice
MsgReceiptHotspotDuration,Durata (minuti)
MsgReceiptCheckInTimeCheckIn,Ora di clock-in
MsgReceiptCheckInTimeCheckOut,Ora di clock-out
MsgReceiptCheckInCheckIn,Entrata registrata
MsgReceiptCheckInCheckOut,Uscita registrata
MsgReceiptCheckInCheckInError,Errore: il dipendente non ha registrato\nl’ora di uscita del turno precedente.
MsgReceiptCheckInCheckOutError,Errore: il dipendente non ha registrato\nl’ora di entrata del turno precedente.
MsgReceiptOther,Altro
MsgReceiptCurrencyPlural,Euro
MsgReceiptCurrencySingular,Euro
MsgReceiptCurrencyTitlePlural,Valuta
MsgReceiptDatetime,Data e ora
MsgReceiptPersonLoggedIn,Persona loggata
MsgReceiptPrinter,Stampante
MsgReceiptOriginal,Originale
MsgReceiptRemaining,Residuo
MsgReceiptOrder,Ordine
MsgReceiptInvoice,Fattura
MsgReceiptEmployee,Dipendente
MsgReceiptRole,Ruolo
MsgReceiptName,Nome
MsgReceiptDate,Data
MsgReceiptTime,Ora
MsgReceiptHours,Ore
MsgReceiptTotalHours,Totale ore
MsgReceiptCallNumber,Numero di chiamata
MsgReceiptCallName,Nome di chiamata
MsgReceiptTable,Tavolo
MsgReceiptBarTab,Posto al bar
MsgReceiptCustomer,Cliente
MsgReceiptCustomerShort,Cliente
MsgReceiptServer,Server
MsgReceiptTransaction,Transazione
MsgReceiptPaidWith,Pagato con
MsgReceiptBill,Ricevuta
MsgReceiptTotal,Totale
MsgReceiptExchangeValue,Valore di cambio
MsgReceiptReturnValue,Reso
MsgReceiptAppliedDeposit,Deposito applicato
MsgReceiptSumTotal,Somma totale
MsgReceiptSumTotal2,Somma totale:
MsgReceiptServiceCharge,Costo del servizio
MsgReceiptOnlineTip,On-line
MsgReceiptReceiptServiceCharge,Ricevuta costo del servizio
MsgReceiptCash,Contante
MsgReceiptCredit,Credito
MsgReceiptPreAuth,Pre-autorizzato
MsgReceiptTermID,Term ID
MsgReceiptAuthCode,Codice autorizzazione
MsgReceiptSeq,Seq
MsgReceiptAccountNumber,Numero del conto
MsgReceiptEntryMethod,Metodo di immissione
MsgReceiptCardBrand,Brand di carta
MsgReceiptGiftCard,Carta regalo
MsgReceiptRewardCard,Carta fedeltà
MsgReceiptCreditCard,Carta di credito
MsgReceiptCreditPlus,Credit +
MsgReceiptDeposit,Deposito
MsgReceiptCheck,Assegno
MsgReceiptGiftCert,Carta regalo
MsgReceiptGift,Regalo
MsgReceiptTax,Tassa
MsgReceiptTip,Mancia
MsgReceiptIndex,Indice
MsgReceiptDiscount,Sconto
MsgReceiptStation,Stazione
MsgReceiptPrintedAt,Stampato a
MsgReceiptSpecialRequest,Richiesta speciale
MsgReceiptSpecialInstructon,Istruzioni speciali
MsgReceiptSignatureAndTotal,Firma e totale
MsgReceiptReceiptOptions,Opzioni di ricevuta
MsgReceiptReceiptHowWouldYouLike,Recapito ricevuta preferito
MsgReceiptSignature,Firma
MsgReceiptCashier,Cassiere
MsgReceiptReportPrintedBy,Ricevuta stampata
MsgReceiptAgreementLine1,Accetto di pagare l’importo totale indicato
MsgReceiptAgreementLine2,secondo l’accordo del emittente della carta.
MsgReceiptBreakdown,Dettagli ricevuta
MsgReceiptBreakdownNet,NETTO
MsgReceiptBreakdownTax,IVA
MsgReceiptBreakdownGross,Lordo
MsgReceiptSeatCount,Totale posti
MsgReceiptNotes,NOTE
MsgReceiptTableOwner,Addetto tavolo
MsgReceiptTakenBy,Preso da
MsgReceiptGiftCardNumber,Numero di carta regalo
MsgReceiptRewardCardNumber,Numero di carta fedeltà
MsgReceiptUnknown,Sconosciuto
MsgReceiptCardBalance,Saldo carta
MsgReceiptPointBalance,Saldo punti
MsgReceiptVisitsBalance,Saldo visite
MsgReceiptPurchasesBalance,Saldo acquisti
MsgReceiptAuthNumber,Numero di autorizzazione
MsgReceiptSaleAmount,Importo della vendita
MsgReceiptBalanceUsed,Saldo utilizzato
MsgReceiptBalanceDue,Saldo dovuto
MsgReceiptOrderBalanceDue,Saldo dovuto dell’ordine
MsgReceiptOrderBalanceDueCut,Importo dovuto
MsgReceiptCustomerPaid,Il cliente ha pagato
MsgReceiptCustomerChange,Modifica nome cliente
MsgReceiptDeliverTo,Consegnare a
MsgReceiptTotalTax,Imposte totali
MsgReceiptCashRoundingDelta,Arrotondamento importo
MsgReceiptSeat,Posto
MsgReceiptOfSale,di vendita:
MsgReceiptSuggestedTips,Costi servizio aggiuntivi suggeriti
MsgReceiptIncluded,Mancia inclusa
MsgReceiptPayPal,PayPal
MsgReceiptTipIncludesAutoGratuity,Mancia include costo servizio aggiuntivo automatico: 
MsgReceiptAwardedPoints,Punti accumulati
MsgReceiptNewProducts,Nuovi prodotti
MsgReceiptNewProductsName,Nome
MsgReceiptNewProductsBarcode,Codice a barre
MsgReceiptNewProductsUnitOfMeasure,Unità di misura
MsgReceiptNewProductsInventoryQuantity,Quantità inventario
MsgReceiptNewProductsPrice,Prezzo
MsgReceiptNewProductsTax,Tassa
MsgReceiptNewProductsEmbedded,Incorporato
MsgReceiptNewProductsSoldByWeight,Venduto al base di peso
MsgReceiptNewProductWouldYouLike,Desideri creare un nuovo prodotto con il codice a barre senza corrispondenza?
MsgReceiptReceiptlessReturnReceiptTotalCash,Totale contanti:
MsgReceiptReceiptlessReturnReceiptTotalCredit,Totale carte di credito:
MsgReceiptReceiptlessReturnReceiptProductName,Prodotto
MsgReceiptReceiptlessReturnReceiptReturn,Restituzione
MsgReceiptReceiptlessReturnReceiptTax,Tassa
MsgReceiptReceiptlessReturnReceiptTotal,Totale
MsgReceiptDelivery,Consegna
MsgReceiptDeliveryDate,Data di consegna
MsgReceiptCustomerCopy,Copia per il cliente
MsgReceiptMerchantCopy,Copia per il mercante
MsgReceiptEach,ogni
MsgReceiptTaxOnSurchargeFormat,%@ su %@
MsgReceiptSurcharge,Supplemento di prezzo
MsgReceiptUntaxed,Non tassato
MsgReceiptMiscTax,Varie
MsgReceiptPrevailingTax,Tassa prevalente
MsgReceiptTaxBreakdownTitle,IVA
MsgReceiptTaxBreakdownTotal,Totale
MsgReceiptTaxBreakdownRate,Tariffa
MsgReceiptTaxRebate,Sgravio fiscale
MsgReceiptBadgeTotal,L’ordine verrà aggiunto alla carta di credito preautorizzata.\nTotale ospiti: %@
MsgReceiptVatNumber,Numero di partita IVA
MsgReceiptYouSaved,Salvato
MsgReceiptPriceIncludesTaxes,IVA inclusa nel prezzo
MsgReceiptTotalTaxesCollected,Totale IVA:
MsgWaitingForTipSelection,In attesa di selezione mancia
MsgWaitingForSignature,In attesa di firma
MsgWaitingForRedeemRewards,In attesa di scelta del tipo di premio fedeltà
MsgWaitingForReceiptSelection,In attesa di selezione di tipo ricevuta
MsgWaitingForEmailEntry,In attesa dell’inserimento e-mail
MsgOverridingTheDisplayUnit,La modifica dello schermo cliente (CDS) lo reinvierà al POS. Continua?
MsgCall,Numero chiamata
MsgReceiptOriginalReceipt,Ricevuta principale
MsgReceiptOnSpotGift,Regalo on-spot
MsgReceiptCancelledOrder,Ordine annullato
MsgReceiptTotalRedeemedPoints,I punti riscattati
MsgReceiptYourCurrentBalance,Saldo corrente
MsgReceiptOrderNumber,Ordine #%@
MsgReceiptMoved,SPOSTATO
MsgReceiptMovedTo,spostato a 
MsgReceiptToDestination,A DESTINAZIONE
MsgReceiptPaymentTotal,Registro di pagamento
MsgReceiptProductForecastingStartOfReport,Stampa report fiscali
MsgReceiptProductForecastingEndOfReport,Fine mese
MsgReceiptProductForecastingTotalsForDay,Totale
MsgReceiptProductForecastingNextDay,Avanti
MsgReceiptProductForecastingPrior,Priorità
MsgReceiptProductForecastingNotificationBody,Stampa riepilogo
MsgReceiptProductForecastingStartOfDay,Data di inizio
MsgReceiptProductForecastingTimeSlot,Blocco temporale
MsgBarTabTitle,Posto al bar n.%d
MsgBarTabsTitle,Posti al bar %@
MsgBarTabsFindTitle,Trova posto al bar.
MsgOrderSelectTitle,Seleziona ordine
MsgBarTabsFindPlaceholder,Inserisci posto al bar # o nome del cliente
MsgBarTabsFindNoResults,Posto al bar aperto non trovato.
MsgBarTabsFindNoResultsOpenNewTab,Posto al bar aperto non trovato. Crea nuovo?
MsgTablesFindNoResultsSelectAvailableTable,Seleziona un tavolo disponibile
MsgBarTabsSearchPlaceholder,"Inserisci numero posto, nome cliente, ID ordine"
BtnBarTabsOpen,Crea posto al bar
BtnBarTabsFind,Trova posto al bar.
BtnBarTabsBarcode,Barcode posto al bar
MsgCustomersHome,Casa
MsgCustomersOffice,Ufficio
MsgSelectOrderType,Seleziona il tipo di ordine
MsgOrderTypeAll,Visualizza tutti ordini
MsgOrderTypeHouse,Visualizza solo conti privati
MsgOrderTypeInvoices,Visualizza fatture in sospeso
MsgOrderTypeHouseTitle,Conti privati
MsgOrderFilterPaid,Pagato
MsgOrderFilterBilled,Fatturato
MsgOrderListTitle,Ordini
MsgOrderListTitleWithCustomerName,Ordini %@
MsgOrderListTitleLoading,Caricamento ordini...
MsgOrderInvoicesListTitleLoading,Caricamento fatture...
MsgCustomersUpdateCCInfo,Aggiorna le informazioni delle carte di credito
MsgOrderInvalidEstablishment,Non è consentito aprire gli ordini da un’altro punto vendita.
MsgOrderSelectOrder2,Seleziona un ordine.
MsgOrderDoNotExist,Non risultano ordini per questo cliente.
MsgInvoiceDoNotExist,Non risultano fatture per questo cliente.
MsgReceiptInvoiceBalanceDue,Saldo fattura dovuto
MsgCateringTitleLoading,Consegna servizio di ristorazione - caricamento...
MsgCateringTitle,Consegna servizio “catering”
MsgCateringTitleCustomerAndCallName,Cliente/nome chiamata
MsgCateringTitleProduct,Prodotto
MsgCateringComplete,Completo
MsgCateringQuantity,Q.tà
MsgCateringTitleCateringDate,Data di consegna
MsgCateringFilter,Visualizza i dati
MsgCateringCompleteTitle,Completa l’ordine
