LocaleIdentifier,RU
MsgOrderPrintInvoiceTitle,Параметры счета
MsgOrderPrintInvoiceActions,Выберите способ получения счета.
MsgOrderPrintTypeTitle,параметры печати
MsgOrderPrintTypeActions,Выберите тип квитанции : Получение заказа или счета-фактуры
BtnOrderPrintReceiptEmail,Эл. почта
BtnOrderPrintReceiptExpensify,Expensify
BtnOrderPrintReceiptSignature,Подпись
MsgOrderCusomerSigned,Клиент подписал
MsgOrderInvoiceTemplateIsInvalid,Недопустимый шаблон счета.\nОбратитесь в службу поддержки.
MsgOrderWaitLoayalTreeRewardsTitle,Обслуживание LoyalTree
MsgOrderLoaylTreeMsg,Ожидание ответа LoyalTree...
MsgOrderItemIsNotAFuelGradeCheckConfiguration,Марка бензина не указана. Проверьте ваши настройки.
MsgOrderSelectOwner,Выберите владельца столика.
MsgOrderSelectEmployee,Выберите сотрудника.
MsgOrderSelectProducts,Выберите продукты.
MsgOrderSelectProductsForLayaway,Выберите продукты для удаления из складских запасов.
MsgOrderAddQuantity,Добавить кол-во
MsgOrderSetQuantity,Установить кол-во
MsgOrderEnterQuantity,Ввести кол-во
MsgOrderQuantityCouldNotBeChanged,Количество не может быть изменено.
MsgOrderSelectOrder,Выберите заказ.
MsgOrderSelectTable,Выберите столик.
MsgOrderReprint,Повторная печать
MsgOrderSendToKitchen,Отправить на кухню
MsgOrderReachedMaxQty,Достигнут максимум разрешенного кол-ва продуктов.  К данному заказу больше не могут быть добавлены продукты.
MsgOrderLocked,Заказ был отредактирован %@ на станции %@.
MsgOrderLockedPrinting,Выполняется печать заказа.
MsgOrderChangedSaveFailed,Заказ изменен. Сохранить не удалось.
MsgOrderSaveFailed,Не удалось сохранить заказ.
MsgOrderCollisionDetected,Заказ был изменен на главной POS-станции. Локальный заказ был перезаписан
MsgOrderCollisionDetectedItems,%d удаленных позиций.
MsgOrderCollisionDetectedPaymentsRefunds,%d возмещенных локальных платежей на общую сумму %@\n.
MsgOrderCollisionDetectedPayments,%d переплат на общую сумму %@.\nВозместить переплаты?
MsgOrderDeletedSaveFailed,Заказ был синхронизирован с виртуальным сервером и удален с главной POS-станции.
MsgOrderDeletedLoadFailed,Заказ был синхронизирован с виртуальным сервером и удален с главной POS-станции.
MsgOrderMainNotReachable,Нет доступа к главной POS-станции.
MsgOrderCloudNotReachable,Не удается подключиться к виртуальному серверу. Проверьте подключение к Интернету.
MsgOrderLoadEmpty,Заказ не содержит позиций
MsgOrderPrinting,Печать заказа №%@
MsgOrderOnline,Онлайн-заказ
MsgOrderNotPrinted,НЕ РАСПЕЧАТАНО
MsgOrderInCorrect,НЕВЕРНЫЙ
MsgOrderNotFound,НЕ НАЙДЕНО
MsgOrderSelectPrinter,Выберите принтер.
MsgOrderSelectLanguage,Выберите язык для чеков.
MsgOrderDefaultLanguage,Язык по умолчанию
MsgOrderSecondaryLanguage,Дополнительный язык
MsgOrderHeldOrder,Отложенный заказ
MsgOrderHeldOrders,Отложенные заказы
MsgOrderUnsyncedOrder,Несинхронизированный заказ
MsgOrderUnsyncedOrders,Несинхронизированные заказы
MsgOrderOpenWebOrder,Онлайн-заказ
MsgOrderOpenWebOrders,Онлайн-заказ
MsgOrderUnprinted,Нераспечатанные заказы
MsgOrderUnprintedWebOrder,Нераспечатанный интернет-заказ
MsgOrderUnprintedWebOrders,Нераспечатанные интернет-заказы
MsgOrderDeliveryCharge,Стоимость доставки
MsgOrderIsNotFullyPaid,Текущий заказ оплачен не полностью. Необходимо сначала оплатить остаток.
MsgOrderTargetTableHasOrder,На %@ имеется открытый заказ.  Выбранный %@ будет добавлен к заказу.  Продолжить?
MsgOrderBagCharge,Стоимость пакета
MsgOrderEnterSerialNumber,Введите серийный номер.
MsgOrderEnterCallNumber,Введите порядковый номер.
MsgOrderEnterSerialNumberForProduct,Введите серийный номер для %@.
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,Серийный номер не указан.\nВведите действительный серийный номер.
MsgOrderSerialNumberShort,Серийный номер
MsgOrderFindOrdersBySerialNumber,Найти заказы по серийному номеру
MsgOrderFoundProductsWithSN,Найденные товары по серийному номеру %@
MsgOrderProductWithIdNotFoundInDb,Не удалось добавить комбо.\nПродукт с идентификатором «%d» не найден.
MsgOrderSearchBySN,Заказы по серийному номеру:
MsgOrderSearchBySNFromAnotheEstablishment,Заказ %@ был создан в другой организации.  Если необходимо вернуть эту позицию
MsgReceiptlessReturnSearchBySN,Найти по серийному номеру
MsgOrderSerialNumberMissingTitle,Отсутствуют серийные номера.
MsgOrderAddSerialNumbersBeforeContinuing,Для завершения заказа необходимо внести недостающую сумму.
MsgOrderNewInvoice,Новый счет: %@
MsgOrderNewOrder,Новый заказ: %@
MsgOrderOrderedBy,Заказ от: %@
MsgOrderMaximumGeneralTitle,Достигнут максимум заказов.
MsgInvoiceMaximumGeneralTitle,Достигнут максимум счетов.
MsgOrderMaximumGeneralMessage,продолжить добавление позиций.
MsgOrderMoveNotAllowedBecauseOfSplitBills,Не удается связать заказ со счетом.
MsgPrintManagementTitle,Управление принтерами
MsgPrintManagementPrinterDetails,Сведения о принтере
MsgPrintManagementSetFontSize,Установить размер шрифта
MsgPrintInvalidConfig,Недопустимая конфигурация принтера
MsgPrintReceiptOptionsTitle,Параметры печати рецепта
MsgPrintReceiptOptionsLabelSize,Размер этикетки
MsgPrintReceiptOptionsPrinterIPPort,Порт принтера
MsgPrintReceiptOptionsWidth,Ширина
MsgPrintReceiptOptionsHeight,Высота
MsgPrintReceiptOptionsLargeLabel,Большая
MsgPrintReceiptOptionsSmallLabel,Маленькая
MsgPrintReceiptOptionsCustomLabel,Ярлык сделанный на заказ
BtnPrintRedirect,Перенаправить
BtnPrintNoRedirect,Отменить\nперенаправление
BtnPrintRedirectingTo,Перенаправление на
BtnPrintRecipe,Рецепт
BtnPrintUseForLabels,Этикетка
BtnPrintLabelsOptions,Параметры этикеток
MsgPrintFontNormal,Стандартный
MsgPrintFontLarge,Большая
MsgPrintPrinterNotResponding,Принтер «%@» не отвечает. Убедитесь
MsgPrintPrinterNotRespondingKiosk,Возникла проблема с принтером.  Перейдите к платежной станции.
MsgPrintCashDrawerNotResponding,Кассовый аппарат не отвечает. Проверьте подключение к принтеру.
MsgReceiptDeliveryTime,Время доставки
MsgReceiptPickupTime,Время забора
MsgOrderViewPickup,Забрать
MsgReceiptASAPTime,КАК МОЖНО СКОРЕЕ
MsgReceiptDueDate,Дата
MsgPrintLabelForItem,Распечатать этикетку для выбранного товара
MsgPrintLabelForCategory,Печать этикетку для категории
MsgPrintLabelNoBarcode,У продукта нет баркода.
MsgPrintLabelQuantity,Кол-во
MsgPrintLabelEnterQuantity,Ввести кол-во
MsgLabelPrinterIsNotSet,Не установлен принтер этикеток.
