LocaleIdentifier,QA
MsgOrderSpeakItemRemoved,ЖItem %d %@ was removed.
MsgOrderSpeakTotal,ЖOrder total is %@.
MsgOrderSpeakHoldOrder,ЖOrder was held.
MsgOrderSpeakShowPayScreen,ЖPay screen was displayed
MsgOrderSpeakShowSearchScreen,ЖProduct search is on.
MsgOrderSpeakShowSearchScreenOff,ЖProduct search is off.
MsgOrderSpeakSelectedProduct,ЖSelected product is %@.
MsgOrderSpeakProductNotFound,ЖNo products found.
MsgOrderSpeakSelectedProductIsTheFirst,ЖSelected product is the first one.
MsgOrderSpeakSelectedProductIsTheLast,ЖSelected product is the last one.
MsgOrderSpeakProductAdded,ЖProduct %@ added to the order.
MsgOrderProductAdded,ЖProduct added
MsgOrderAddProducts,ЖAdd products
MsgOrderSpeakAccessibilityOff,ЖKeyboard support switched off.
MsgOrderSpeakAccessibilityOn,ЖKeyboard support switched on.
MsgOrderSpeakLoginSuccess,ЖYou have logged in to the app.
MsgOrderSpeakLoginFail,ЖInvalid PIN.
MsgOrderSpeakCancelOrderCancel,ЖCancellation of the order was aborted.
MsgOrderSpeakCancelOrderSuccess,ЖOrder was canceled.
MsgOrderSpeakCancelOrderConfirm,ЖAre you sure you wish to cancel the order?
MsgOrderSpeakCancelInvoiceConfirm,ЖAre you sure you wish to cancel the invoice?
MsgOrderSpeakSlowdownSuccess,ЖVoice speed decreased.
MsgOrderSpeakSlowdownFail,ЖVoice cannot be slower.
MsgOrderSpeakSpeedupSuccess,ЖVoice speed increased.
MsgOrderSpeakSpeedupFail,ЖVoice cannot be faster.
BtnPinAccessibilityOn,ЖAccessibility On
BtnPinAccessibilityOff,ЖAccessibility Off
MsgPinAccessibilityModeIsUnavailable,ЖAccessibility mode is unavailable because this station has a Bluetooth scanner.
MsgOrderClockIn,ЖClock In
MsgOrderClockOut,ЖClock Out
MsgOrderPaidBreak,ЖPaid Break
MsgOrderUnPaidBreak,ЖUnpaid Break
MsgOrderGoOnBreak,ЖGo On Break
MsgOrderDeliveryTrackingDate,ЖDate & Time
MsgOrderDeliveryTrackingEmployee,ЖEmployee
MsgOrderDeliveryTrackingEmployeeClockOut,ЖClock Out: %@
MsgOrderDeliveryTrackingInvalidClockInTime,ЖClock in time must be after clock out time.
MsgOrderItemShare,ЖShare
MsgOrderItemSplitWithSeat,ЖSplit with Seat %d
MsgOrderItemDiscount,ЖDiscount
MsgOrderItemNoCourseWithDate,Ж***** No Course%@ *****
MsgOrderItemCourseWithDate,Ж***** Course %d%@ *****
MsgOrderItemSeat,ЖSeat %d
MsgOrderItemS,ЖS%d
MsgOrderItemLayaway,Ж**Layaway**
MsgOrderItemVoided,ЖVoided
MsgOrderItemComps,ЖComps
MsgOrderItemReturned,ЖReturned
MsgOrderGratuityNonEditableHasPayments,ЖThis order has payments. You cannot add or remove gratuity.
MsgOrderGratuityFullAmountAllowed,ЖOnly full payments are supported when the order has a gratuity.
MsgOrderCategory,ЖCategory
MsgOrderSubCategory,ЖSub Category
MsgOrderProducts,ЖProducts
MsgOrderTopMenu,ЖTop Menu
MsgOrderNoTipsTitle,ЖNo Tip Alert
MsgOrderNoTips,ЖThis order has no tips.
MsgOrderNoTipsForBill,ЖSome bills are without tips.
BtnLeaveTip,ЖLeave Tip
BtnCloseOrder,ЖClose Order
MsgOrderRefundExtraAmount,ЖPlease refund extra balance before closing.
MsgOrderPayRemainingAmount,ЖUnable to close the order. Please pay remaining balance.
MsgOrderNoItemsForNextCourse,ЖNext course has no items.
MsgOrderEnterPrice,ЖEnter Price
MsgOrderSelectSeat,ЖSelect a Seat
MsgOrderSelectSeatPlease,ЖPlease select guest count
MsgOrderSeatWithNumber,ЖSeat %d
MsgOrderSetSeat,ЖEnter Seat Number
MsgOrderSetGuestCount,ЖEnter Guest Count
MsgOrderSeat,ЖSeat
MsgOrderSeats,ЖSeats
MsgOrderGuest,ЖGuest
MsgOrderGuests,ЖGuests
MsgOrderSelectCourse,ЖSelect a Course
MsgOrderCourseWithNumber,ЖCourse %d
MsgOrderTableCantMoveIsUnsynced,ЖMoving is not possible because the destination order is not synced to the main POS.
MsgOrderSplitBillsClear,ЖSplit bills will be cleared. Are you sure?
MsgOrderSplitBillsNumberExceeded,ЖUp to 30 checks are supported.
MsgOrderSmallAmountForSplitting,ЖAmount of each split bill must be greater than $%.2f.
MsgOrderAddExtraItemTitle,ЖAdd Extra Item
MsgOrderAddExtraItemName,ЖName
MsgOrderAddExtraItemPrice,ЖPrice
MsgOrderAddExtraItemPricePerUnit,ЖPrice per Unit
MsgOrderAddExtraItemTax,ЖTax
BtnOrderAddExtraItemWeight,ЖWeight
BtnOrderAddExtraEnterName,ЖPlease input item name.
BtnOrderAddExtraEnterPrice,ЖPlease enter the price before activating the scale.
MsgOrderAddExtraItemSelectName,ЖSelect a Name
MsgOrderAddExtraItemSelectNameTax,ЖTax: %.1f%%
MsgOrderAddExtraItemSaveToServer,ЖSave to Server
MsgOrderAddExtraItemTaxFreeItem,ЖTax Free
MsgOrderAddExtraItemWeightedItem,ЖWeighted Item
MsgOrderAddExtraItemEmbeddedItem,ЖEmbedded Item
MsgOrderAddExtraItemSaving,ЖSaving
MsgOrderAddExtraItemSavingFailed,ЖProduct was not saved to server and will be stored locally.
MsgOrderAddExtraItemTaxSavingWarning,ЖCustom tax will not saved to server but will be stored to order item.
MsgOrderAddExtraItemNoMatchFound,ЖNo Match Found
MsgOrderExtraItem,ЖItem
BtnOrderAddItem,ЖAdd Item
MsgOrderAddItemCopying,ЖCopying Items
MsgOrderPrintReceiptsTitle,ЖPrint Receipts
MsgOrderPrintReceiptsPrintWhat,ЖOrder has credit card receipts. Which receipts would you like to print?
MsgOrderPrintReceiptsSplitPrintWhat,ЖWhich receipts would you like to print?
BtnOrderPrintReceiptsGuest,ЖGuest
BtnOrderPrintReceiptsSummary,ЖSummary
BtnOrderPrintReceiptsCredit,ЖCredit
MsgOrderHappyHour,ЖHappy Hour
MsgOrderRefundCustomer,ЖPlease refund customer %@.
MsgOrderRefundCompleted,Ж%@ refunded to %@.
MsgOrderRefundToNewCard,ЖRefund to new Gift Card?
MsgOrderFailedToAddGiftCard,ЖFailed to add Gift Card.
MsgOrderPrintReceiptTitle,ЖPrint Receipt
MsgOrderPrintGiftReceiptTitle,ЖPrint Gift Receipt
MsgOrderPrintReceiptActions,ЖDo you want to print a receipt?
MsgOrderPrintRefundReceiptForActions,ЖDo you want to print a refund receipt for %@?
MsgOrderPrintGiftReceiptActions,ЖDo you want to print a gift receipt?
MsgOrderPrintInvoiceTitle,ЖInvoice Options
MsgOrderPrintInvoiceActions,ЖHow would you like to get your invoice?
MsgOrderPrintTypeTitle,ЖPrint Options
MsgOrderPrintTypeActions,ЖSelect receipt type: Order Receipt or Invoice
BtnOrderPrintReceiptEmail,ЖEmail
BtnOrderPrintReceiptExpensify,ЖExpensify
BtnOrderPrintReceiptSignature,ЖSignature
MsgOrderCusomerSigned,ЖCustomer Signed
MsgOrderInvoiceTemplateIsInvalid,ЖInvoice template is invalid.\nPlease contact customer support.
MsgOrderWaitLoayalTreeRewardsTitle,ЖLoyalTree Service
MsgOrderLoaylTreeMsg,ЖWait for LoyalTree response ...
MsgOrderItemIsNotAFuelGradeCheckConfiguration,ЖItem is not marked as fuel grade. Please check backend configuration
MsgMistmatchInPriceBetweenFCAndPOS,"ЖMismatch in price between Forecourt Controller and POS, for product %@"
MsgOrderSelectOwner,ЖSelect Table Owner
MsgOrderSelectEmployee,ЖSelect an Employee
MsgOrderSelectProducts,ЖSelect Products
MsgOrderSelectProductsForLayaway,ЖSelect Products to remove from inventory
MsgOrderAddQuantity,ЖAdd Quantity
MsgOrderSetQuantity,ЖSet Quantity
MsgOrderEnterQuantity,ЖEnter Quantity
MsgOrderQuantityCouldNotBeChanged,ЖQuantity cannot be changed.
MsgOrderSelectOrder,ЖSelect an Order
MsgOrderSelectTable,ЖSelect a Table
MsgOrderReprint,ЖReprint
MsgOrderSendToKitchen,ЖSend to Kitchen
MsgOrderReachedMaxQty,ЖMaximum number of products reached.  No more products may be added to this order.
MsgOrderLocked,ЖOrder was edited by %@ on station %@.
MsgOrderLockedPrinting,ЖOrder printing job is in progress.
MsgOrderChangedSaveFailed,ЖOrder was changed. Save failed.
MsgOrderSaveFailed,ЖOrder save failed
MsgOrderCollisionDetected,ЖThe order was changed on the main POS. Your local order has been overwritten because it differs from master copy.
MsgOrderCollisionDetectedItems,Ж%d deleted item(s).
MsgOrderCollisionDetectedPaymentsRefunds,Ж%d refunded local payment(s) totalling %@\n.
MsgOrderCollisionDetectedPayments,Ж%d excess local payment(s) total amount %@.\nWould you like to refund excess payments?
MsgOrderDeletedSaveFailed,ЖOrder was synchronized with the cloud server and removed from the main POS station.
MsgOrderDeletedLoadFailed,ЖOrder was synchronized with the cloud server and removed from the main POS station.
MsgOrderMainNotReachable,ЖCannot reach Main POS station.
MsgOrderCloudNotReachable,ЖCannot connect to the cloud server. Please check your internet connection.
MsgOrderLoadEmpty,ЖOrder is empty and cannot be loaded.
MsgOrderPrinting,ЖPrinting Order #%@
MsgOrderOnline,ЖOnline Order
MsgOrderNotPrinted,ЖNOT PRINTED
MsgOrderInCorrect,ЖINCORRECT
MsgOrderNotFound,ЖNOT FOUND
MsgOrderSelectPrinter,ЖSelect Printer
MsgOrderSelectLanguage,ЖChoose Language for Receipts
MsgOrderDefaultLanguage,ЖDefault Language
MsgOrderSecondaryLanguage,ЖSecondary Language
MsgOrderHeldOrder,ЖHeld Order
MsgOrderHeldOrders,ЖHeld Orders
MsgOrderUnsyncedOrder,ЖUnsynced Order
MsgOrderUnsyncedOrders,ЖUnsynced Orders
MsgOrderOpenWebOrder,ЖOpen Online Order
MsgOrderOpenWebOrders,ЖOpen Online Orders
MsgOrderUnprinted,ЖUnprinted
MsgOrderUnprintedWebOrder,ЖUnprinted Online Order
MsgOrderUnprintedWebOrders,ЖUnprinted Online Orders
MsgOrderDeliveryCharge,ЖDelivery Charge
MsgOrderIsNotFullyPaid,ЖCurrent order is not fully paid. Pay remaining balance first.
MsgOrderTargetTableHasOrder,ЖThere is an open order on %@.  Selected %@ will become part of that order.  Proceed?
MsgOrderBagCharge,ЖBag Charge
MsgOrderEnterSerialNumber,ЖEnter Serial Number
MsgOrderEnterCallNumber,ЖEnter Call Number
MsgOrderEnterSerialNumberForProduct,ЖEnter Serial Number for %@
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,ЖSerial number is empty.\nPlease enter a valid serial number.
MsgOrderSerialNumberShort,ЖS/N
MsgOrderFindOrdersBySerialNumber,ЖFind Orders by Serial Number
MsgOrderFoundProductsWithSN,ЖFound products with S/N %@
MsgOrderProductWithIdNotFoundInDb,"ЖFailed to add combo.\nProduct with id \""%d\"" not found."
MsgOrderSearchBySN,ЖOrders by S/N: 
MsgOrderSearchBySNFromAnotheEstablishment,"ЖOrder %@ was created on another establishment.  If you need to return this item, please go to Settings/Returns."
MsgReceiptlessReturnSearchBySN,ЖFind by S/N
MsgOrderSerialNumberMissingTitle,ЖMissing Serial Number(s)
MsgOrderAddSerialNumbersBeforeContinuing,ЖPlease add serial numbers before continuing.
MsgOrderNewInvoice,ЖNew Invoice: %@
MsgOrderNewOrder,ЖNew Order: %@
MsgOrderOrderedBy,ЖOrdered by: %@
MsgOrderMaximumGeneralTitle,ЖOrder maximum reached
MsgInvoiceMaximumGeneralTitle,ЖInvoice maximum reached
MsgOrderMaximumGeneralMessage,Жcontinue adding items
MsgOrderMoveNotAllowedBecauseOfSplitBills,ЖYou can not move order with split bill
MsgOrderManualOverride,ЖManual Override
MsgPrintManagementTitle,ЖPrinter Management
MsgPrintManagementPrinterDetails,ЖPrinter Details
MsgPrintManagementSetFontSize,ЖSet Font Size
MsgPrintInvalidConfig,ЖInvalid Printer Configuration
MsgPrintReceiptOptionsTitle,ЖRecipe Print Options
MsgPrintReceiptOptionsLabelSize,ЖLabel Size
MsgPrintReceiptOptionsPrinterIPPort,ЖPrinter IP port
MsgPrintReceiptOptionsWidth,ЖWidth
MsgPrintReceiptOptionsHeight,ЖHeight
MsgPrintReceiptOptionsLargeLabel,ЖLarge
MsgPrintReceiptOptionsSmallLabel,ЖSmall
MsgPrintReceiptOptionsCustomLabel,ЖCustom Label
BtnPrintRedirect,ЖRedirect
BtnPrintNoRedirect,ЖCancel\nRedirect
BtnPrintRedirectingTo,ЖRedirecting to
BtnPrintRecipe,ЖRecipe
BtnPrintUseForLabels,ЖLabel
BtnPrintLabelsOptions,ЖLabel Options
MsgPrintFontNormal,ЖNormal
MsgPrintFontLarge,ЖLarge
MsgPrintPrinterNotResponding,ЖPrinter '%@' is not responding. Please confirm that the printer is on.
MsgPrintPrinterNotRespondingKiosk,ЖThere is an issue with the printer.  Please proceed to the pay station.
MsgPrintCashDrawerNotResponding,ЖCash drawer is not responding. Please check the printer connection.
MsgReceiptDeliveryTime,ЖDelivery Time
MsgReceiptPickupTime,ЖPickup Time
MsgOrderViewPickup,ЖPick Up
MsgReceiptASAPTime,ЖASAP
MsgReceiptDueDate,ЖDue Date
MsgPrintBatchTotals,ЖBATCH TOTALS
MsgPrintBatch,ЖBatch
MsgPrintHostTransaction,ЖHost Transactions:
MsgPrintCount,ЖCount:
MsgPrintPurchaseCorrection,ЖPurchase Correction:
MsgPrintPedTransactions,ЖPed Transactions:
MsgPrintPurchase,ЖPurchase:
MsgPrintRefund,ЖRefund:
MsgPrintOutOfBalance,ЖOUT OF BALANCE
MsgPrintLabelForItem,ЖPrint Label for Selected Item
MsgPrintLabelForCategory,ЖPrint Label for Category
MsgPrintLabelNoBarcode,ЖProduct does not have a barcode.
MsgPrintLabelQuantity,ЖQuantity
MsgPrintLabelEnterQuantity,ЖEnter Quantity
MsgLabelPrinterIsNotSet,ЖLabel printer is not set.
MsgPrintLabelOptionsTitle,ЖLabel Print Options
MsgLabelType,ЖLabel Type
MsgPrintLabelOptionsPrintName,ЖPrint Name
MsgPrintLabelOptionsPrintPrice,ЖPrint Price
MsgPrintLabelOptionsWidth,ЖWidth
MsgPrintLabelOptionsHeight,ЖHeight
MsgPrintLabelOptionsPricingLabel,ЖPricing Label
MsgPrintLabelOptionsStockLabel,ЖStock Label
MsgPrintLabelOptionsJewelry,ЖJewelry
MsgOrderReceiptTitle,ЖReceipt
MsgOrderGiftReceiptTitle,ЖGift Receipt
MsgOrderVoidReceiptTitle,ЖVoid Receipt
MsgOrderExchangeReceiptTitle,ЖExchange Receipt
MsgOrderRefundReceiptTitle,ЖRefund Receipt
MsgOrderNonFiscalReceiptTitle,ЖNon Fiscal Receipt
MsgReceiptPaymentLog,ЖPayment Log
MsgReceiptDailyPaymentLog,ЖDaily Payment Log
MsgReceiptTotalPaymentReceipt,ЖTotal Payment Report
MsgReceiptCashLog,ЖCash Log
MsgReceiptCashLogStartingCash,ЖStarting Cash
MsgReceiptCashLogPayoutAmount,ЖPay-Out Amount
MsgReceiptCashLogPayInAmount,ЖPay-In Amount
MsgReceiptCashLogSafeDropAmount,ЖSafe Drop Amount
MsgReceiptCashLogCoinsDispensed,ЖCoins Dispensed
MsgReceiptCashLogTotal,ЖCash Total
MsgReceiptCashLogExpectedCashInTill,ЖExpected Cash In Till
MsgReceiptCashLogCheckOut,ЖCash Log For Check Out
MsgReceiptCashLogCheckOutStartingCash,ЖTotal Starting Cash
MsgReceiptCashLogCheckOutPayoutAmount,ЖPay-Out Amount
MsgReceiptCashLogCheckOutPayInAmount,ЖPay-In Amount
MsgReceiptCashLogCheckOutCoinsDispensed,ЖCoins Dispensed
MsgReceiptCashLogCheckOutCashTransactions,ЖCash Transactions
MsgReceiptCashLogCheckOutExpectedCashInTill,ЖExpected Cash In Till
MsgReceiptCashLogCheckOutEndingCashTotal,ЖEnding Cash Total
MsgReceiptCashLogCheckOutDifference,ЖDifference
MsgReceiptCashLogCheckOutBankDrop,ЖBank Drop
MsgReceiptCashLogOpenedBy,ЖOpened by
MsgReceiptCashLogHeldBy,ЖHeld by
MsgReceiptCashLogClosedBy,ЖClosed by
MsgReceiptCashLogPayOut,ЖPay-Out
MsgReceiptCashLogPayIn,ЖPay-In
MsgReceiptMadeBy,ЖMade by
MsgTillsOwnedBy,ЖOwned by
MsgReceiptCashLogEmployeeNoLongerActive,ЖEmployee no longer active
MsgReceiptGiftCardCertificateNumber,ЖCertificate Number
MsgReceiptGiftCardBelongsTo,ЖBelongs to
MsgReceiptGiftCardAuthNumber,ЖAuth number
MsgReceiptGiftCardLoadAmount,ЖLoad amount
MsgReceiptGiftCardLoadBonusAmount,ЖLoad Bonus money added
MsgReceiptGiftCardLoadBonusPercentage,Ж% Bonus
MsgReceiptGiftCardOriginalBalance,ЖOriginal Balance
MsgReceiptGiftCardBalance,ЖBalance
MsgReceiptSafeDrop,ЖSafe Drop
MsgReceiptBankDropAmountOfDropTotal,ЖAmount of Drop Total
MsgReceiptBankDropSignedBy,ЖSigned by
MsgReceiptOfflineMode,ЖOFFLINE MODE
MsgReceiptSaveYourReceipt,ЖPLEASE SAVE YOUR RECEIPT
MsgReceiptClockInTime,ЖClock In Time
MsgReceiptClockOutTime,ЖClock Out Time
MsgReceiptPresentReceiptToManager,ЖPRESENT THIS RECEIPT TO YOUR MANAGER
MsgTimeSheetOfflineMode,ЖYou are in offline mode.\n Please save your receipt.
MsgReceiptHotspotTitle,ЖHOTSPOT CODE
MsgReceiptHotspotCode,ЖCode
MsgReceiptHotspotDuration,ЖDuration (minutes)
MsgReceiptCheckInTimeCheckIn,ЖTime Clocked In
MsgReceiptCheckInTimeCheckOut,ЖTime Clocked Out
MsgReceiptCheckInCheckIn,ЖClocked In
MsgReceiptCheckInCheckOut,ЖClocked Out
MsgReceiptCheckInCheckInError,ЖError: Employee did not clock out of\nprevious shift.
MsgReceiptCheckInCheckOutError,ЖError: Employee did not clock in to\nprevious shift.
MsgReceiptOther,ЖOther
MsgReceiptCurrencyPlural,ЖDollars
MsgReceiptCurrencySingular,ЖDollar
MsgReceiptCurrencyTitlePlural,ЖCurrencies
MsgReceiptDatetime,ЖDatetime
MsgReceiptPersonLoggedIn,ЖPerson Logged In
MsgReceiptPrinter,ЖPrinter
MsgReceiptOriginal,ЖOriginal
MsgReceiptRemaining,ЖRemaining
MsgReceiptOrder,ЖOrder
MsgReceiptInvoice,ЖInvoice
MsgReceiptEmployee,ЖEmployee
MsgReceiptRole,ЖRole
MsgReceiptName,ЖName
MsgReceiptDate,ЖDate
MsgReceiptTime,ЖTime
MsgReceiptHours,ЖHours
MsgReceiptTotalHours,ЖTotal hours
MsgReceiptCallNumber,ЖCall Number
MsgReceiptCallName,ЖCall Name
MsgReceiptTable,ЖTable
MsgReceiptBarTab,ЖBar Tab
MsgReceiptCustomer,ЖCustomer
MsgReceiptCustomerShort,ЖCust
MsgReceiptServer,ЖServer
MsgReceiptTransaction,ЖTransaction
MsgReceiptPaidWith,ЖPaid With
MsgReceiptBill,ЖBill
MsgReceiptTotal,ЖTotal
MsgReceiptExchangeValue,ЖExchange Value
MsgReceiptAppliedDeposit,ЖApplied Deposit
MsgReceiptSumTotal,ЖSum Total
MsgReceiptSumTotal2,ЖSum Total:
MsgReceiptServiceCharge,ЖService Charge
MsgReceiptSingaporeSubtotalWithSFee,ЖGST
MsgReceiptSingaporeServiceFee,ЖSVC CHG
MsgReceiptReceiptServiceCharge,ЖReceipt Service Charge
MsgReceiptCash,ЖCash
MsgReceiptCredit,ЖCredit
MsgReceiptPreAuth,ЖPre Auth
MsgReceiptTermID,ЖTerm ID
MsgReceiptAuthCode,ЖAuth Code
MsgReceiptSeq,ЖSeq
MsgReceiptAccountNumber,ЖAccount Number
MsgReceiptEntryMethod,ЖEntry Method
MsgReceiptCardBrand,ЖCard Brand
MsgReceiptGiftCard,ЖGift Card
MsgReceiptRewardCard,ЖReward Card
MsgReceiptCreditCard,ЖCredit Card
MsgReceiptCreditPlus,ЖCredit +
MsgReceiptDeposit,ЖDeposit
MsgReceiptCheck,ЖCheck
MsgReceiptGiftCert,ЖGift Cert
MsgReceiptGift,ЖGift
MsgReceiptTax,ЖTax
MsgReceiptTip,ЖTip
MsgReceiptIndex,ЖIndex
MsgReceiptDiscount,ЖDiscount
MsgReceiptStation,ЖStation
MsgReceiptRevenueCenter,ЖRevenue Center
MsgReceiptPrintedAt,ЖPrinted at
MsgReceiptSpecialRequest,ЖSpecial Request
MsgReceiptSpecialInstructon,ЖSpecial Instructions
MsgReceiptSignatureAndTotal,ЖSignature & Total
MsgReceiptReceiptOptions,ЖReceipt Options
MsgReceiptReceiptHowWouldYouLike,ЖHow would you like to get your receipt?
MsgReceiptSignature,ЖSignature
MsgReceiptCashier,ЖCashier
MsgReceiptReportPrintedBy,ЖReport Printed by
MsgReceiptAgreementLine1,ЖI agree to pay the above total amount
MsgReceiptAgreementLine2,Жaccording to card issuer agreement.
MsgReceiptBreakdown,ЖBreakdown
MsgReceiptBreakdownNet,ЖNET
MsgReceiptBreakdownTax,ЖTAX
MsgReceiptBreakdownGross,ЖGross
MsgReceiptSeatCount,ЖSeat Count
MsgReceiptNotes,ЖNOTES
MsgReceiptTableOwner,ЖTable Owner
MsgReceiptTakenBy,ЖTaken by
MsgReceiptGiftCardNumber,ЖGift Card Number
MsgReceiptRewardCardNumber,ЖReward Card Number
MsgReceiptUnknown,ЖUnknown
MsgReceiptCardBalance,ЖCard Balance
MsgReceiptPointBalance,ЖPoint Balance
MsgReceiptVisitsBalance,ЖVisits Balance
MsgReceiptPurchasesBalance,ЖPurchases Balance
MsgReceiptAuthNumber,ЖAuth Number
MsgReceiptSaleAmount,ЖSale Amount
MsgReceiptBalanceUsed,ЖBalance Used
MsgReceiptBalanceDue,ЖBalance Due
MsgReceiptOrderBalanceDue,ЖOrder Balance due
MsgReceiptOrderBalanceDueCut,ЖOrder Due
MsgReceiptCustomerPaid,ЖCustomer Paid
MsgReceiptCustomerChange,ЖCustomer Change
MsgReceiptDeliverTo,ЖDeliver To
MsgReceiptTotalTax,ЖTotal Tax
MsgReceiptCashRoundingDelta,ЖRounding Delta
MsgReceiptHST,ЖHST
MsgReceiptGSTIncluded,ЖGST Included
MsgReceiptSeat,ЖSeat
MsgReceiptOfSale,Жof sale:
MsgReceiptSuggestedTips,ЖSuggested Gratuity
MsgReceiptIncluded,ЖIncluded
MsgReceiptPayPal,ЖPayPal
MsgReceiptTipIncludesAutoGratuity,ЖTip includes Auto Gratuity: 
MsgReceiptAwardedPoints,ЖAwarded Points
MsgReceiptNewProducts,ЖNew Products
MsgReceiptNewProductsName,ЖName
MsgReceiptNewProductsBarcode,ЖBarcode
MsgReceiptNewProductsUnitOfMeasure,ЖUnit of Measure
MsgReceiptNewProductsInventoryQuantity,ЖInventory quantity
MsgReceiptNewProductsPrice,ЖPrice
MsgReceiptNewProductsTax,ЖTax
MsgReceiptNewProductsEmbedded,ЖEmbedded
MsgReceiptNewProductsSoldByWeight,ЖSold by Weight
MsgReceiptNewProductWouldYouLike,ЖWould you like to create a new product with the unmatched barcode?
MsgReceiptReceiptlessReturnReceiptTotalCash,ЖTotal Cash:
MsgReceiptReceiptlessReturnReceiptTotalCredit,ЖTotal Store Credit:
MsgReceiptReceiptlessReturnReceiptProductName,ЖProduct
MsgReceiptReceiptlessReturnReceiptReturn,ЖReturn
MsgReceiptReceiptlessReturnReceiptTax,ЖTax
MsgReceiptReceiptlessReturnReceiptTotal,ЖTotal
