LocaleIdentifier,PL
MsgOrderDeliveryTrackingInvalidClockInTime,Czas rozpoczęcia zmiany musi być późniejszy niż czas zakończenia.
MsgOrderItemShare,Udostępnij
MsgOrderItemSplitWithSeat,Rozdziel rachunek dla miejsca %d
MsgOrderItemDiscount,Rabat
MsgOrderItemNoCourseWithDate,***** Brak dania%@ *****
MsgOrderItemCourseWithDate,***** Danie %d%@ *****
MsgOrderItemSeat,Miejsce %d
MsgOrderItemS,M%d
MsgOrderItemLayaway,**Rezerwacja towaru**
MsgOrderItemVoided,Unieważnione
MsgOrderItemComps,Gratisy
MsgOrderItemReturned,Zwrócone
MsgOrderGratuityNonEditableHasPayments,Istnieją płatności powiązane z tą transakcją. Nie możesz dodać ani usunąć napiwku.
MsgOrderGratuityFullAmountAllowed,"Jeśli dodano napiwek, możliwa jest tylko płatność w całości."
MsgOrderTags,Znaczniki
MsgOrderCategory,KATEGORIA
MsgOrderSubCategory,PODKATEGORIA
MsgOrderProducts,Towary
MsgOrderTopMenu,MENU
MsgOrderNoTipsTitle,Bez napiwku
MsgOrderNoTips,Brak punktów dla tej transakcji.
MsgOrderNoTipsForBill,Do części rachunków nie dodano napiwków.
BtnLeaveTip,Napiwki LevelUp
BtnCloseOrder,Zamknij transakcję
MsgOrderRefundExtraAmount,Przed zamknięciem zwróć nadwyżkę należności.
MsgOrderPayRemainingAmount,Nie można zamknąć transakcji. Wpłać pozostałą należność.
MsgOrderNoItemsForNextCourse,Brak pozycji w następnym daniu.
MsgOrderEnterPrice,Wprowadź cenę
MsgOrderSelectSeat,Wybierz miejsce
MsgOrderSelectSeatPlease,Wybierz liczbę gości
MsgOrderSeatWithNumber,Miejsce %d
MsgOrderSetSeat,Wprowadź numer miejsc
MsgOrderSetGuestCount,Wprowadź liczbę gości
MsgOrderSeat,Miejsce
MsgOrderSeats,Miejsca
MsgOrderGuest,Gość
MsgOrderGuests,Goście
MsgOrderSelectCourse,Wybierz danie
MsgOrderCourseWithNumber,Danie %d
MsgOrderTableCantMoveIsUnsynced,"Nie można przenieść, brak synchronizacji miejsca docelowego z głównym stanowiskiem POS."
MsgOrderSplitBillsClear,Rozdzielone rachunki zostaną wyczyszczone. Czy na pewno?
MsgOrderSplitBillsNumberExceeded,Obsługiwanych jest maksymalnie 15 rachunków
MsgOrderSmallAmountForSplitting,Kwota każdego rachunku dzielonego musi przekraczać %.2f.
MsgOrderAddExtraItemTitle,Dodaj dodatkową pozycję
MsgOrderAddExtraItemName,Nazwa
MsgOrderAddExtraItemPrice,Cena
MsgOrderAddExtraItemPricePerUnit,Cena za sztukę
MsgOrderAddExtraItemTax,Podatek
BtnOrderAddExtraItemWeight,Waga
BtnOrderAddExtraEnterName,Wprowadź nazwę towaru.
BtnOrderAddExtraEnterPrice,Podaj cenę przed aktywacją wagi.
MsgOrderAddExtraItemSelectName,Wybierz nazwę
MsgOrderAddExtraItemSelectNameTax,Podatek: %.1f%%
MsgOrderAddExtraItemSaveToServer,Zapisz na serwerze
MsgOrderAddExtraItemTaxFreeItem,Wolne od podatku
MsgOrderAddExtraItemWeightedItem,Pozycja zważona
MsgOrderAddExtraItemEmbeddedItem,Pozycja wliczona
MsgOrderAddExtraItemSaving,Zapisywanie
MsgOrderAddExtraItemSavingFailed,Towar nie został zapisany na serwerze i będzie przechowywany lokalnie.
MsgOrderAddExtraItemTaxSavingWarning,"Niestandardowy podatek nie będzie zapisany w serwerze, ale będzie przechowywany aby zamówić pozycję."
MsgOrderAddExtraItemNoMatchFound,Brak dopasowań
MsgOrderExtraItem,Pozycja
BtnOrderAddItem,Dodaj pozycję
MsgOrderAddItemCopying,Kopiowanie pozycji
MsgOrderPrintReceiptsTitle,Drukuj rachunki
MsgOrderPrintReceiptsPrintWhat,Istnieją płatności kartą dla transakcji. Które rachunki wydrukować?
MsgOrderPrintReceiptsSplitPrintWhat,Które rachunki chcesz wydrukować?
BtnOrderPrintReceiptsGuest,Gość
BtnOrderPrintReceiptsSummary,Podsumowanie
BtnOrderPrintReceiptsCredit,Kredyt
MsgOrderHappyHour,Promocja
MsgOrderRefundCustomer,Zwróć należność klientowi %@.
MsgOrderRefundCompleted,%@ zwrócono klientowi %@.
MsgOrderRefundToNewCard,Wprowadź nr karty podarunkowej
MsgOrderFailedToAddGiftCard,Anulowanie karty podarunkowej nieudane.
MsgOrderPrintReceiptTitle,Drukuj rachunek
MsgOrderPrintGiftReceiptTitle,Drukuj paragon podarunku
MsgOrderPrintReceiptActions,Chcesz wydrukować rachunek?
MsgOrderPrintRefundReceiptForActions,Czy chcesz wydrukować potwierdzenie zwrotu dla %@?
MsgOrderPrintGiftReceiptActions,Czy chcesz wydrukować paragon podarunku?
MsgOrderPrintInvoiceTitle,Opcje faktury
MsgOrderPrintInvoiceActions,W jaki sposób chcesz otrzymać fakturę?
MsgOrderPrintTypeTitle,Opcje wydruku
MsgOrderPrintTypeActions,Wybierz typ odbioru: Otrzymanie paragonu lub faktury
BtnOrderPrintReceiptEmail,Email
BtnOrderPrintReceiptExpensify,Expensify
BtnOrderPrintReceiptSignature,Podpis
MsgOrderCusomerSigned,Podpisany przez klienta
MsgOrderInvoiceTemplateIsInvalid,Szablon faktury jest nieprawidłowy.\nProsimy o kontakt z działem obsługi klienta.
MsgOrderWaitLoayalTreeRewardsTitle,Usługi LoyalTree
MsgOrderLoaylTreeMsg,Czekaj na odpowiedź LoyalTree ...
MsgOrderItemIsNotAFuelGradeCheckConfiguration,Pozycja nie jest oznaczona jako gatunek paliwa. Proszę sprawdzić konfigurację na konsoli zarządzania
MsgMistmatchInPriceBetweenFCAndPOS,"Niedopasowanie w cenie między kontrolerem podjazdu i POS, dla towaru %@"
MsgOrderSelectOwner,"Wybierz, kto będzie się zajmował transakcjami danego stolika"
MsgOrderSelectEmployee,Wybierz pracownika
MsgOrderSelectProducts,Wybierz towary
MsgOrderSelectProductsForLayaway,Wybierz towary do usunięcia z magazynu
MsgOrderAddQuantity,Dodaj ilość
MsgOrderSetQuantity,Ustaw ilość
MsgOrderEnterQuantity,Wprowadź ilość
MsgOrderQuantityCouldNotBeChanged,Ilość nie możne być zmieniona.
MsgOrderSelectOrder,Wybierz transakcję
MsgOrderSelectTable,Wybierz stolik
MsgOrderReprint,Drukuj ponownie
MsgOrderSendToKitchen,Wyślij do kuchni
MsgOrderReachedMaxQty,Osiągnięto maks. liczbę towarów.  Do tej transakcji nie można dodać kolejnych towarów.
MsgOrderLocked,Transakcja edytowane przez %@ na stanowisku %@.
MsgOrderLockedPrinting,Trwa drukowanie transakcji.
MsgOrderChangedSaveFailed,Zmieniono transakcję. Zapisywanie nie powiodło się.
MsgOrderSaveFailed,Zapisanie transakcji nie powiodło się
MsgOrderCollisionDetected,"Transakcja zmieniona z poziomu gł. stanowiska POS. Lokalna transakcja została zastąpiona, ponieważ różniło się od kopii głównej."
MsgOrderCollisionDetectedItems,Usunięte pozycje: %d.
MsgOrderCollisionDetectedPaymentsRefunds,"Zwrócone płatności lokalne: %d, na łączną kwotę %@\n."
MsgOrderCollisionDetectedPayments,"Nadpłaty lokalne: %d, na łączną kwotę %@.\nZwrócić nadpłatę?"
MsgOrderDeletedSaveFailed,Transakcja została zsynchronizowana z chmurą i usunięta z gł. stanowiska POS.
MsgOrderDeletedLoadFailed,Transakcja została zsynchronizowana z chmurą i usunięta z gł. stanowiska POS.
MsgOrderMainNotReachable,Gł. stanowisko POS niedostępne.
MsgOrderCloudNotReachable,Nie można połączyć się z chmurą. Sprawdź połączenie z internetem.
MsgOrderLoadEmpty,Transakcja nie posiada pozycji i nie możne być wczytana.
MsgOrderPrinting,Drukowanie transakcji nr %@
MsgOrderOnline,Transakcja online
MsgOrderNotPrinted,NIE WYDRUKOWANO
MsgOrderInCorrect,NIEPOPRAWNE
MsgOrderNotFound,NIE ZNALEZIONO
MsgOrderSelectPrinter,Wybierz drukarkę
MsgOrderSelectLanguage,Wybierz język rachunków
MsgOrderDefaultLanguage,Język domyślny
MsgOrderSecondaryLanguage,Dodatkowy język
MsgOrderHeldOrder,Wstrzymana transakcja
MsgOrderHeldOrders,Wstrzymane transakcje
MsgOrderUnsyncedOrder,Niezsynchr. transakcje
MsgOrderUnsyncedOrders,Niezsynchr. transakcje
MsgOrderOpenWebOrder,Nowa transakcja online
MsgOrderOpenWebOrders,Nowe transakcje online
MsgOrderUnprinted,Niewydrukowane transakcje
MsgOrderUnprintedWebOrder,Niewydrukowana transakcja online
MsgOrderUnprintedWebOrders,Niewydrukowane transakcje online
MsgOrderDeliveryCharge,Opłata za dostawę
MsgOrderIsNotFullyPaid,Aktualna transakcja nie jest w pełni opłacona. Najpierw zapłać bilans.
MsgOrderTargetTableHasOrder,Istnieje otwarta transakcja w %@.  Wybrana %@ zostanie dołączona do tej transakcji.  Kontynuować?
MsgOrderBagCharge,Opłata za torbę
MsgOrderEnterSerialNumber,Wprowadź nr seryjny
MsgOrderEnterCallNumber,Wprowadź nr transakcji danego stolika
MsgOrderEnterSerialNumberForProduct,Wprowadź nr seryjny dla %@
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,Numer seryjny jest pusty.\nWprowadź prawidłowy numer seryjny.
MsgOrderSerialNumberShort,Nr. ser.
MsgOrderFindOrdersBySerialNumber,Wyszukaj transakcje wg numeru seryjnego
MsgOrderFoundProductsWithSN,Znaleziono towary z nr ser. %@
MsgOrderProductWithIdNotFoundInDb,"Nie udało się dodać zestawu.\nTowar o id\""%d\""nie znaleziony."
MsgOrderSearchBySN,Transakcje wg nr ser.: 
MsgOrderSearchBySNFromAnotheEstablishment,"Transakcja %@ utworzona w innej placówce.  Jeśli chcesz zwrócić tą pozycję, przejdź do menu ustawienia/zwroty."
MsgReceiptlessReturnSearchBySN,Wyszukaj wg nr ser.
MsgOrderSerialNumberMissingTitle,Brakuje numeru(ów) seryjnego(ych)
MsgOrderAddSerialNumbersBeforeContinuing,Przed zamknięciem zwróć nadwyżkę należności.
MsgOrderNewInvoice,Nowa faktura: %@
MsgOrderNewOrder,Nowa transakcja: %@
MsgOrderOrderedBy,Zamawiane przez: %@
MsgOrderMaximumGeneralTitle,Osiągnięto maximum transakcji
MsgInvoiceMaximumGeneralTitle,Osiągnięto maximum faktury
MsgOrderMaximumGeneralMessage,kontynuuj dodawanie pozycji
MsgOrderMoveNotAllowedBecauseOfSplitBills,Nie można scalić transakcji z fakturą.
MsgOrderManualOverride,Sterowanie ręczne
MsgPrintManagementTitle,Zarządzanie drukarką
MsgPrintManagementPrinterDetails,Szczegóły drukarki
MsgPrintManagementSetFontSize,Ustaw rozmiar czcionki
MsgPrintInvalidConfig,Nieprawidłowa konfiguracja drukarki
MsgPrintReceiptOptionsTitle,Opcje wydruku przepisu
MsgPrintReceiptOptionsLabelSize,Rozmiar etykiety
MsgPrintReceiptOptionsPrinterIPPort,Port IP drukarki
MsgPrintReceiptOptionsWidth,Szerokość
MsgPrintReceiptOptionsHeight,Wysokość
MsgPrintReceiptOptionsLargeLabel,Duża
MsgPrintReceiptOptionsSmallLabel,Mała
MsgPrintReceiptOptionsCustomLabel,Niestandardowa etykieta
BtnPrintRedirect,Przekieruj
BtnPrintNoRedirect,Anuluj\nprzekierowanie
BtnPrintRedirectingTo,Trwa przekierowanie do
BtnPrintRecipe,Przepis
BtnPrintUseForLabels,Etykieta
BtnPrintLabelsOptions,Opcje etykiety
MsgPrintFontNormal,Normalny
MsgPrintFontLarge,Duża
MsgPrintPrinterNotResponding,"Drukarka „%@” nie odpowiada. Sprawdź, czy drukarka jest włączona."
MsgPrintPrinterNotRespondingKiosk,Wystąpił problem z drukarką. Przejdź do kasy.
MsgPrintCashDrawerNotResponding,Szuflada kasowa nie odpowiada. Sprawdź połączenie z drukarką.
MsgReceiptDeliveryTime,Czas dostawy
MsgReceiptPickupTime,Czas odbioru
MsgOrderViewPickup,Odbiór
MsgReceiptASAPTime,Jak najprędzej
MsgReceiptDueDate,Data zakończenia
MsgPrintLabelForItem,Drukuj etykietę wybranej pozycji
MsgPrintLabelForCategory,Drukuj etykietę dla kategorii
MsgPrintLabelNoBarcode,Towar nie posiada kodu kreskowego.
MsgPrintLabelQuantity,Ilość
MsgPrintLabelEnterQuantity,Wprowadź ilość
MsgLabelPrinterIsNotSet,Nie ustawiono drukarki etykiet.
MsgPrintLabelOptionsTitle,Opcje wydruku etykiet
MsgLabelType,Typ etykiety
MsgPrintLabelOptionsPrintName,Drukuj nazwę
MsgPrintLabelOptionsPrintPrice,Drukuj cenę
MsgPrintLabelOptionsWidth,Szerokość
MsgPrintLabelOptionsHeight,Wysokość
MsgPrintLabelOptionsPricingLabel,Etykieta z ceną
MsgPrintLabelOptionsStockLabel,Etykieta zasobów
MsgPrintLabelOptionsJewelry,Jewelry
MsgOrderReceiptTitle,Paragon
MsgOrderGiftReceiptTitle,Rachunek za cert. upominkowy
MsgOrderVoidReceiptTitle,Unieważnij paragon
MsgOrderExchangeReceiptTitle,Wymień paragon
MsgOrderRefundReceiptTitle,Paragon zwrotu
MsgOrderNonFiscalReceiptTitle,Paragon nie fiskalny
MsgReceiptPaymentLog,Rejestr płatności
MsgReceiptDailyPaymentLog,Dzienny rejestr płatności
MsgReceiptTotalPaymentReceipt,Raport o całkowitych płatnościach
MsgReceiptCashLog,Rejestr gotówki
MsgReceiptCashLogStartingCash,Początkowa gotówka
MsgReceiptCashLogPayoutAmount,Kwota wypłacona
MsgReceiptCashLogPayInAmount,Kwota wpłacona
MsgReceiptCashLogSafeDropAmount,Kwota depozytu sejfu
MsgReceiptCashLogCoinsDispensed,Wydane monety
MsgReceiptCashLogTotal,Gotówka łącznie
MsgReceiptCashLogExpectedCashInTill,Oczekiwana suma w kasie
MsgReceiptCashLogCheckOut,Rejestr gotówki kasy do zakończenia.
MsgReceiptCashLogCheckOutStartingCash,Początkowa gotówka łącznie
MsgReceiptCashLogCheckOutPayoutAmount,Kwota wypłacona
MsgReceiptCashLogCheckOutPayInAmount,Kwota wpłacona
MsgReceiptCashLogCheckOutCoinsDispensed,Wydane monety
MsgReceiptCashLogCheckOutCashTransactions,Transakcje gotówkowe.
MsgReceiptCashLogCheckOutExpectedCashInTill,Oczekiwana suma w kasie
MsgReceiptCashLogCheckOutEndingCashTotal,Końcowa gotówka łącznie
MsgReceiptCashLogCheckOutDifference,Różnica
MsgReceiptCashLogCheckOutBankDrop,Depozyt bankowy
MsgReceiptCashLogOpenedBy,Otwarte przez
MsgReceiptCashLogHeldBy,Posiadane przez
MsgReceiptCashLogClosedBy,Zamknięte przez
MsgReceiptCashLogPayOut,Wypłata
MsgReceiptCashLogPayIn,Wpłata
MsgReceiptMadeBy,Dokonane przez
MsgTillsOwnedBy,Należący do
MsgReceiptCashLogEmployeeNoLongerActive,Pracownik nie jest już aktywny
MsgReceiptGiftCardCertificateNumber,Numer certyfikatu
MsgReceiptGiftCardBelongsTo,Należy do
MsgReceiptGiftCardAuthNumber,Nr autoryzacji
MsgReceiptGiftCardLoadAmount,Kwota zasilenia
MsgReceiptGiftCardLoadBonusAmount,Pieniądze dodane do bonusa ładującego
MsgReceiptGiftCardLoadBonusPercentage,% Bonus
MsgReceiptGiftCardOriginalBalance,Oryginalne saldo
MsgReceiptGiftCardBalance,Saldo
MsgReceiptSafeDrop,Depozyt sejfu
MsgReceiptBankDropAmountOfDropTotal,Łączna kwota depozytu
MsgReceiptBankDropSignedBy,Podpisane przez
MsgReceiptOfflineMode,TRYB OFFLINE
MsgReceiptSaveYourReceipt,ZAPISZ RACHUNEK
MsgReceiptClockInTime,Godzina rozpoczęcia zmiany
MsgReceiptClockOutTime,Godzina zakończenia zmiany
MsgReceiptPresentReceiptToManager,PRZEKAŻ TEN RACHUNEK SWOJEMU MENEDŻEROWI
MsgTimeSheetOfflineMode,Włączono tryb offline.\nZapisz rachunek.
MsgReceiptHotspotTitle,KOD HOTSPOTU
MsgReceiptHotspotCode,Kod
MsgReceiptHotspotDuration,Czas trwania (min)
MsgReceiptCheckInTimeCheckIn,Godzina rozpoczęcia zmiany
MsgReceiptCheckInTimeCheckOut,Godzina zakończenia zmiany
MsgReceiptCheckInCheckIn,Rozpoczęta zmiana
MsgReceiptCheckInCheckOut,Zakończona zmiana
MsgReceiptCheckInCheckInError,"Błąd: Pracownik nie zakończył\npoprzedniej zmiany,"
MsgReceiptCheckInCheckOutError,"Błąd: Pracownik nie rozpoczął\npoprzedniej zmiany,"
MsgReceiptOther,Inne
MsgReceiptCurrencyPlural,Dolary
MsgReceiptCurrencySingular,Dolar
MsgReceiptCurrencyTitlePlural,Waluty
MsgReceiptDatetime,Data i godz.
MsgReceiptPersonLoggedIn,Osoba zalogowana
MsgReceiptPrinter,Drukarka
MsgReceiptOriginal,Oryginał
MsgReceiptRemaining,Pozostały
MsgReceiptOrder,Transakcja
MsgReceiptInvoice,Faktura
MsgReceiptEmployee,Pracownik
MsgReceiptRole,Funkcja
MsgReceiptName,Nazwa
MsgReceiptDate,Data
MsgReceiptTime,Czas
MsgReceiptHours,Godziny
MsgReceiptTotalHours,Łącznie godzin
MsgReceiptCallNumber,Nr transakcji stolika
MsgReceiptCallName,Nazwa zamówienia
MsgReceiptTable,Stolik
MsgReceiptBarTab,Rachunek w barze
MsgReceiptCustomer,Klient
MsgReceiptCustomerShort,Klient
MsgReceiptServer,Serwer
MsgReceiptTransaction,Transakcja
MsgReceiptPaidWith,Zapłacono za pomocą
MsgReceiptBill,Rachunek
MsgReceiptTotal,Łącznie
MsgReceiptExchangeValue,Wartość wymiany
MsgReceiptReturnValue,Zwrócone
MsgReceiptAppliedDeposit,Naliczony depozyt
MsgReceiptSumTotal,Łączna suma
MsgReceiptSumTotal2,Łączna suma:
MsgReceiptServiceCharge,Opłata za obsługę
MsgReceiptOnlineTip,Online
MsgReceiptReceiptServiceCharge,Rachunek za usługę.
MsgReceiptCash,Gotówka
MsgReceiptCredit,Kredyt
MsgReceiptPreAuth,Przed autoryzacja
MsgReceiptTermID,Id terminu
MsgReceiptAuthCode,Kod autoryzacji
MsgReceiptSeq,Sekwencja
MsgReceiptAccountNumber,Numer konta
MsgReceiptEntryMethod,Metoda wpisu
MsgReceiptCardBrand,Marka karty
MsgReceiptGiftCard,Karta podarunkowa
MsgReceiptRewardCard,Karta bonusowa
MsgReceiptCreditCard,Karta kredytowa
MsgReceiptCreditPlus,Karta płatnicza
MsgReceiptDeposit,Depozyt
MsgReceiptCheck,czek
MsgReceiptGiftCert,Cert. podarunkowy
MsgReceiptGift,Podarunek
MsgReceiptTax,Podatek
MsgReceiptTip,Napiwek
MsgReceiptIndex,Index
MsgReceiptDiscount,Rabat
MsgReceiptStation,Stanowisko
MsgReceiptRevenueCenter,Centra dochodów
MsgReceiptPrintedAt,Wydrukowany na
MsgReceiptSpecialRequest,Zlecenia specjalne
MsgReceiptSpecialInstructon,Instrukcje specjalne
MsgReceiptSignatureAndTotal,Podpis i kwota łączna
MsgReceiptReceiptOptions,Opcje rachunku
MsgReceiptReceiptHowWouldYouLike,W jaki sposób otrzymać rachunek?
MsgReceiptSignature,Podpis
MsgReceiptCashier,Kasjer
MsgReceiptReportPrintedBy,Potwierdzenie wydrukowane
MsgReceiptAgreementLine1,Zgadzam się zapłacić powyższą łączną kwotę
MsgReceiptAgreementLine2,na podstawie umowy z wystawcą karty.
MsgReceiptBreakdown,Analiza
MsgReceiptBreakdownNet,BRUTTO
MsgReceiptBreakdownTax,PODATEK
MsgReceiptBreakdownGross,Netto
MsgReceiptSeatCount,Liczba miejsc
MsgReceiptNotes,UWAGI
MsgReceiptTableOwner,"Wybierz, kto będzie się zajmował transakcją danego stolika"
MsgReceiptTakenBy,Wzięty przez
MsgReceiptGiftCardNumber,Nr karty podarunkowej
MsgReceiptRewardCardNumber,Numer karty bonusowej
MsgReceiptUnknown,Nieznany
MsgReceiptCardBalance,Saldo karty
MsgReceiptPointBalance,Saldo punktów
MsgReceiptVisitsBalance,Saldo wizyt
MsgReceiptPurchasesBalance,Saldo zakupów
MsgReceiptAuthNumber,Nr autoryzacji
MsgReceiptSaleAmount,Kwota sprzedaży
MsgReceiptBalanceUsed,Kwota zapłacona
MsgReceiptBalanceDue,Należność
MsgReceiptOrderBalanceDue,Bilans naliczony na transakcję
MsgReceiptOrderBalanceDueCut,Należność transakcji
MsgReceiptCustomerPaid,Zapłacona kwota. Klient zaplacił
MsgReceiptCustomerChange,Reszta dla klienta
MsgReceiptDeliverTo,Dostawa do:
MsgReceiptTotalTax,Podatek łącznie
MsgReceiptCashRoundingDelta,Delta zaokrąglenia
MsgReceiptSeat,Miejsce
MsgReceiptOfSale,sprzedaży:
MsgReceiptSuggestedTips,Sugerowane napiwki
MsgReceiptIncluded,Napiwek wliczony
MsgReceiptPayPal,PayPal
MsgReceiptTipIncludesAutoGratuity,Napiwek naliczony automatycznie:  
MsgReceiptAwardedPoints,Przyznane punkty
MsgReceiptNewProducts,Nowe towary
MsgReceiptNewProductsName,Nazwa
MsgReceiptNewProductsBarcode,Kod kreskowy
MsgReceiptNewProductsUnitOfMeasure,Jednostka miary
MsgReceiptNewProductsInventoryQuantity,Ilość magazynu
MsgReceiptNewProductsPrice,Cena
MsgReceiptNewProductsTax,Podatek
MsgReceiptNewProductsEmbedded,Wliczona
MsgReceiptNewProductsSoldByWeight,Sprzedaż wg wagi
MsgReceiptNewProductWouldYouLike,Czy chcesz utworzyć nowy towar z niedopasowanym kodem kreskowym?
MsgReceiptReceiptlessReturnReceiptTotalCash,Gotówka łącznie:
MsgReceiptReceiptlessReturnReceiptTotalCredit,Łącznie kredyt sklepowy:
MsgReceiptReceiptlessReturnReceiptProductName,Towar
MsgReceiptReceiptlessReturnReceiptReturn,Zwrot
MsgReceiptReceiptlessReturnReceiptTax,Podatek
MsgReceiptReceiptlessReturnReceiptTotal,Łącznie
MsgReceiptDelivery,Dostawa
MsgReceiptDeliveryDate,Data dostawy
MsgReceiptCustomerCopy,Kopia dla klienta
MsgReceiptMerchantCopy,Kopia dla sprzedającego
MsgReceiptEach,Każdy. za szt.
MsgReceiptTaxOnSurchargeFormat,%@ na %@
MsgReceiptSurcharge,Dopłata
MsgReceiptUntaxed,Nieopodatk.
MsgReceiptMiscTax,Różne
MsgReceiptPrevailingTax,Podatek domyślny
MsgReceiptTaxBreakdownTitle,Analiza podatku
MsgReceiptTaxBreakdownTotal,Łącznie
MsgReceiptTaxBreakdownRate,Stawka
MsgReceiptTaxRebate,Bonifikata podatku
MsgReceiptBadgeTotal,Transakcja jest autoryzowana i zostanie dodana do karty właściciela grupy.\nBieżąca łączna wartość dla grupy: %@
MsgReceiptVatNumber,Numer VAT
MsgReceiptYouSaved,Zaoszczędzono
MsgReceiptPriceIncludesTaxes,Cena zawiera podatki
MsgReceiptTotalTaxesCollected,Pobrane podatki łącznie:
MsgWaitingForTipSelection,Oczekiwanie na wybór napiwku
MsgWaitingForSignature,Oczekiwanie na podpis
MsgWaitingForRedeemRewards,Oczekiwanie na wybór nagrody przez klienta
MsgWaitingForReceiptSelection,Oczekiwanie na wybór rachunku
MsgWaitingForEmailEntry,Oczekiwanie na adres e-mailowy
MsgOverridingTheDisplayUnit,"Zmiana funkcji urządzenia wyświetlającego, spowoduje przekierowanie komunikatów do klienta do POS. Czy chcesz kontynuować?"
MsgCall,Nr zamówienia
MsgReceiptOriginalReceipt,Oryginalny paragon
MsgReceiptOnSpotGift,Nagroda natychmiastowa 
MsgReceiptCancelledOrder,Anulowana transakcja
MsgReceiptTotalRedeemedPoints,Łącznie uzyskane punkty
MsgReceiptYourCurrentBalance,Twoje bieżące saldo
MsgReceiptOrderNumber,Transakcja nr%@
MsgReceiptMoved,PRZENIESIONY
MsgReceiptMovedTo,przeniesiony do
MsgReceiptToDestination,DO MIEJSCA PRZEZNACZENIA
MsgBringStoreCreditReceipt,"Przynieś ten paragon ze sobą podczas kolejnej wizyty, aby wykorzystać swój kredyt sklepowy"
MsgReceiptPaymentTotal,Płatność razem
MsgReceiptProductForecastingStartOfReport,Raport przewidujący towary
