LocaleIdentifier,ET
MsgOrderSmallAmountForSplitting,Iga tükeldatud arve summa peab olema üle %.2f euro.
MsgOrderAddExtraItemTitle,Lisa täiendav üksus
MsgOrderAddExtraItemName,Nimi
MsgOrderAddExtraItemPrice,Hind
MsgOrderAddExtraItemPricePerUnit,Hind ühiku kohta
MsgOrderAddExtraItemTax,Maks
BtnOrderAddExtraItemWeight,Kaal
BtnOrderAddExtraEnterName,Sisestage kaubaartikli nimetus.
BtnOrderAddExtraEnterPrice,Sisestage hind enne tariifi aktiveerimist.
MsgOrderAddExtraItemSelectName,Valige nimi
MsgOrderAddExtraItemSelectNameTax,Maks: %.1f%%
MsgOrderAddExtraItemSaveToServer,Salvesta serverisse
MsgOrderAddExtraItemTaxFreeItem,Maksuvaba
MsgOrderAddExtraItemWeightedItem,Kaalutud kaubaartikkel
MsgOrderAddExtraItemEmbeddedItem,Manustatud kaubaartikkel
MsgOrderAddExtraItemSaving,Salvestamine
MsgOrderAddExtraItemSavingFailed,Toodet ei salvestatud serverisse ning see salvestatakase kohalikult.
MsgOrderAddExtraItemTaxSavingWarning,"Kohandatud maksu ei salvestata serverisse, kuid talletatakse tellitud üksusele."
MsgOrderAddExtraItemNoMatchFound,Vasteid ei leitud
MsgOrderExtraItem,Üksus
BtnOrderAddItem,Lisa üksus
MsgOrderAddItemCopying,Kopeerin kaubaartiklid
MsgOrderPrintReceiptsTitle,Prindi kviitungid
MsgOrderPrintReceiptsPrintWhat,Tellimusel on krediitkaardikviitungeid. Millised kviitungid soovite printida?
MsgOrderPrintReceiptsSplitPrintWhat,Millised kviitungid soovite printida?
BtnOrderPrintReceiptsGuest,külaline
BtnOrderPrintReceiptsSummary,Kokkuvõte
BtnOrderPrintReceiptsCredit,Krediit
MsgOrderHappyHour,Õnnetund
MsgOrderRefundCustomer,Makske kliendile %@ tagasi.
MsgOrderRefundCompleted,"%@ makstud tagasi, kellele: %@."
MsgOrderRefundToNewCard,Sisestage kinkekaardi nr
MsgOrderFailedToAddGiftCard,Kinkekaardi tühistamine nurjus.
MsgOrderPrintReceiptTitle,Prindi kviitung
MsgOrderPrintGiftReceiptTitle,Prindi kingikviitung
MsgOrderPrintReceiptActions,Kas soovite kviitungi printida?
MsgOrderPrintRefundReceiptForActions,Kas soovite printida %@ tagastuskviitungi?
MsgOrderPrintGiftReceiptActions,Kas soovite printida kingikviitungi?
MsgOrderPrintInvoiceTitle,Arve valikud
MsgOrderPrintInvoiceActions,Kuidas soovite arve saada?
MsgOrderPrintTypeTitle,Printimissuvandid
MsgOrderPrintTypeActions,Valige kviitungi liik: Tellimuskviitung või Kaubaarve
BtnOrderPrintReceiptEmail,Meiliaadress
BtnOrderPrintReceiptExpensify,Expensify
BtnOrderPrintReceiptSignature,Allkiri
MsgOrderCusomerSigned,Kliendi poolt allkirjastatud
MsgOrderInvoiceTemplateIsInvalid,Arve mall on sobimatu.\nVõtke ühendust klienditoega.
MsgOrderWaitLoayalTreeRewardsTitle,LoyalTree teenus
MsgOrderLoaylTreeMsg,Oodake LoyalTree vastust...
MsgOrderItemIsNotAFuelGradeCheckConfiguration,Kaubaartikkel ei ole märgitud kütuse sordina. Kontrollige tagaserveri konfiguratsiooni
MsgMistmatchInPriceBetweenFCAndPOS,"Hinnalahknevus platsi juhtimisseadme ja POS-i vahel, toode: %@"
MsgOrderSelectOwner,Valige laua omanik
MsgOrderSelectEmployee,Valige töötaja
MsgOrderSelectProducts,Valige tooted
MsgOrderSelectProductsForLayaway,Valige laost eemaldatavad tooted
MsgOrderAddQuantity,Lisage kogus
MsgOrderSetQuantity,Määrake kogus
MsgOrderEnterQuantity,Sisestage kogus
MsgOrderQuantityCouldNotBeChanged,Kogust ei saa muuta.
MsgOrderSelectOrder,Valige tellimus
MsgOrderSelectTable,Valige laud
MsgOrderReprint,Prindi uuesti
MsgOrderSendToKitchen,Saada kööki
MsgOrderReachedMaxQty,Toodete maksimaalne arv on saavutatud.  Sellele tellimusele ei saa rohkem tooteid lisada.
MsgOrderLocked,Tellimust redigeeris %@ jaamas %@.
MsgOrderLockedPrinting,Tellimuse printimine on pooleli.
MsgOrderChangedSaveFailed,Tellimust on muudetud. Salvestamine nurjus.
MsgOrderSaveFailed,Tellimuse salvestamine ebaõnnestus
MsgOrderCollisionDetected,"Tellimust muudeti põhikassas. Teie kohalik tellimus on üle kirjutatud, kuna erineb põhieksemplarist."
MsgOrderCollisionDetectedItems,%d kustutatud üksus(t).
MsgOrderCollisionDetectedPaymentsRefunds,%d tagasi makstud kohalik(ku) makse(t) kogusummas %@\n.
MsgOrderCollisionDetectedPayments,%d liigne (liigset) kohalik(ku) makse(t) kogusummas %@.\nKas soovite liigsed maksed tagasi maksta?
MsgOrderDeletedSaveFailed,Tellimus on sünkroonitud pilveserveriga ja eemaldatud põhikassajaamast.
MsgOrderDeletedLoadFailed,Tellimus on sünkroonitud pilveserveriga ja eemaldatud põhikassajaamast.
MsgOrderMainNotReachable,Põhikassajaama ei saa kätte.
MsgOrderCloudNotReachable,Pilveserveriga ei saa ühendust. Kontrollige internetiühendust.
MsgOrderLoadEmpty,Tellimus on tühi ja seda ei saa laadida.
MsgOrderPrinting,Tellimuse nr %@ printimine
MsgOrderOnline,Veebitellimus
MsgOrderNotPrinted,POLE PRINDITUD
MsgOrderInCorrect,EBAÕIGE
MsgOrderNotFound,EI LEITUD
MsgOrderSelectPrinter,Valige printer
MsgOrderSelectLanguage,Valige kviitungite jaoks keel
MsgOrderDefaultLanguage,Vaikekeel
MsgOrderSecondaryLanguage,Täiendav keel
MsgOrderHeldOrder,Ootel tellimus
MsgOrderHeldOrders,Ootel tellimused
MsgOrderUnsyncedOrder,Sünkroonimata tellimus
MsgOrderUnsyncedOrders,Sünkroonimata tellimused
MsgOrderOpenWebOrder,Uus võrgutellimus
MsgOrderOpenWebOrders,Uued võrgutellimused
MsgOrderUnprinted,Printimata tellimused
MsgOrderUnprintedWebOrder,Printimata veebitellimus
MsgOrderUnprintedWebOrders,Printimata veebitellimused
MsgOrderDeliveryCharge,Kohaletoimetamise tasu
MsgOrderIsNotFullyPaid,Jooksva tellimuse eest ei ole täielikult tasutud. Tasuge esmalt ülejäänud saldo.
MsgOrderTargetTableHasOrder,Laual %@ on avatud tellimus.  Valitud %@ muutub selle tellimuse osaks.  Kas jätkata?
MsgOrderBagCharge,Pakendimaks
MsgOrderEnterSerialNumber,Sisestage seerianumber
MsgOrderEnterCallNumber,Sisestage kõne number
MsgOrderEnterSerialNumberForProduct,Sisestage seerianumber üksusele %@
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,Seerianumber puudub.\nSisestage kehtiv seerianumber.
MsgOrderSerialNumberShort,SN
MsgOrderFindOrdersBySerialNumber,Tellimuste otsing seerianumbri järgi
MsgOrderFoundProductsWithSN,Seerianumbriga %@ leitud tooted
MsgOrderProductWithIdNotFoundInDb,"Koondi lisamine ebaõnnestus.\nToodet, mille id on \""%d\"", ei leitud."
MsgOrderSearchBySN,Tellimused seerianumbri järgi 
MsgOrderSearchBySNFromAnotheEstablishment,"Tellimus %@ on loodud teises asutuses.  Kui soovite selle üksuse tagastada, valige Seaded/Tagastused."
MsgReceiptlessReturnSearchBySN,Leia seerianumbri järgi
MsgOrderSerialNumberMissingTitle,Puuduv järjenumber(-numbrid)
MsgOrderAddSerialNumbersBeforeContinuing,Makske lisasaldo enne sulgemist tagasi.
MsgOrderNewInvoice,Uus arve: %@
MsgOrderNewOrder,Uus tellimus: %@
MsgOrderOrderedBy,Tellija: %@
MsgOrderMaximumGeneralTitle,Tellimuse ülemmäär on saavutatud
MsgInvoiceMaximumGeneralTitle,Arve ülemmäär on saavutatud
MsgOrderMaximumGeneralMessage,jätka kaubaartiklite lisamist
MsgOrderMoveNotAllowedBecauseOfSplitBills,Tellimust ei saa arvega liita.
MsgOrderManualOverride,Manuaalne tühistus
MsgPrintManagementTitle,Printerihaldus
MsgPrintManagementPrinterDetails,Printeri üksikasjad
MsgPrintManagementSetFontSize,Määra fondi suurus
MsgPrintInvalidConfig,Printeri vale konfiguratsioon
MsgPrintReceiptOptionsTitle,Retsepti printimise valikud
MsgPrintReceiptOptionsLabelSize,Etiketi suurus
MsgPrintReceiptOptionsPrinterIPPort,Printeri IP-port
MsgPrintReceiptOptionsWidth,Laius
MsgPrintReceiptOptionsHeight,Kõrgus
MsgPrintReceiptOptionsLargeLabel,Suur
MsgPrintReceiptOptionsSmallLabel,Väike
MsgPrintReceiptOptionsCustomLabel,Kohandatud etikett
BtnPrintRedirect,Suuna ümber
BtnPrintNoRedirect,Tühista\nümbersuunamine
BtnPrintRedirectingTo,Ümbersuunamine:
BtnPrintRecipe,Retsept
BtnPrintUseForLabels,Etikett
BtnPrintLabelsOptions,Etiketi valikud
MsgPrintFontNormal,Tavaline
MsgPrintFontLarge,Suur
MsgPrintPrinterNotResponding,Printer %@ ei vasta. Veenduge
MsgPrintPrinterNotRespondingKiosk,Printeriga on probleem.  Jätkake maksejaamaga.
MsgPrintCashDrawerNotResponding,Kassasahtel ei vasta. Kontrollige printeri ühendust.
MsgReceiptDeliveryTime,Kohaletoimetamise kellaaeg
MsgReceiptPickupTime,Kättesaamise kellaaeg
MsgOrderViewPickup,Kättesaamine
MsgReceiptASAPTime,Esimesel võimalusel
MsgReceiptDueDate,Tähtaeg
MsgPrintLabelForItem,Prindi valitud üksuse jaoks etikett
MsgPrintLabelForCategory,Prindi kategooria jaoks etikett
MsgPrintLabelNoBarcode,Tootel pole vöötkoodi.
MsgPrintLabelQuantity,Kogus
MsgPrintLabelEnterQuantity,Sisestage kogus
MsgLabelPrinterIsNotSet,Etiketiprinter pole määratud.
MsgPrintLabelOptionsTitle,Etiketi printimise valikud
MsgLabelType,Etiketi tüüp
MsgPrintLabelOptionsPrintName,Prindi nimi
MsgPrintLabelOptionsPrintPrice,Prindi hind
MsgPrintLabelOptionsWidth,Laius
MsgPrintLabelOptionsHeight,Kõrgus
MsgPrintLabelOptionsPricingLabel,Hinnaetikett
MsgPrintLabelOptionsStockLabel,Laoetikett
MsgPrintLabelOptionsJewelry,Juveelitoode
MsgOrderReceiptTitle,Kviitung
MsgOrderGiftReceiptTitle,Kingikviitung
MsgOrderVoidReceiptTitle,Tühista kviitung
MsgOrderExchangeReceiptTitle,Muuda kviitung
MsgReceiptPaymentLog,Makselogi
MsgReceiptDailyPaymentLog,Päevitine makselogi
MsgReceiptTotalPaymentReceipt,Täielik maksearuanne
MsgReceiptCashLog,Sularahalogi
MsgReceiptCashLogStartingCash,Alustusraha
MsgReceiptCashLogPayoutAmount,Väljamakse summa
MsgReceiptCashLogPayInAmount,Sissemakse summa
MsgReceiptCashLogSafeDropAmount,"\""Rahakappi\"" pandu kogusumma"
MsgReceiptCashLogCoinsDispensed,Jaotatud mündid
MsgReceiptCashLogTotal,Sularaha kokku
MsgReceiptCashLogExpectedCashInTill,Oodatav sularaha kassas
MsgReceiptCashLogCheckOut,Sularahalogi vormistamisel
MsgReceiptCashLogCheckOutStartingCash,Alustusraha kokku
MsgReceiptCashLogCheckOutPayoutAmount,Väljamakse summa
MsgReceiptCashLogCheckOutPayInAmount,Sissemakse summa
MsgReceiptCashLogCheckOutCoinsDispensed,Jaotatud mündid
MsgReceiptCashLogCheckOutCashTransactions,Sularahatehingud
MsgReceiptCashLogCheckOutExpectedCashInTill,Oodatav sularaha kassas
MsgReceiptCashLogCheckOutEndingCashTotal,Lõpetusraha kokku
MsgReceiptCashLogCheckOutDifference,Vahe
MsgReceiptCashLogCheckOutBankDrop,Pangasahtel
MsgReceiptCashLogOpenedBy,Avaja:
MsgReceiptCashLogHeldBy,Ootel:
MsgReceiptCashLogClosedBy,Sulgeja:
MsgReceiptCashLogPayOut,Väljamakse
MsgReceiptCashLogPayIn,Sissemakse
MsgReceiptMadeBy,Tegija:
MsgTillsOwnedBy,Kuuluvus:
MsgReceiptGiftCardCertificateNumber,Serdi number
MsgReceiptGiftCardAuthNumber,Aut.-number
MsgReceiptGiftCardLoadAmount,Laaditud summa
MsgReceiptGiftCardLoadBonusAmount,Laadimisboonuse raha lisatud
MsgReceiptGiftCardLoadBonusPercentage,% boonus
MsgReceiptGiftCardOriginalBalance,Algsaldo
MsgReceiptGiftCardBalance,Saldo
MsgReceiptSafeDrop,"\""Rahakappi\"" panek"
MsgReceiptBankDropAmountOfDropTotal,Summa kokku
MsgReceiptBankDropSignedBy,Allkirjastaja:
MsgReceiptOfflineMode,VÕRGUÜHENDUSETA REŽIIM
MsgReceiptSaveYourReceipt,SALVESTAGE KVIITUNG
MsgReceiptClockInTime,Saabumisaeg
MsgReceiptClockOutTime,Lahkumisaeg
MsgReceiptPresentReceiptToManager,ESITAGE SEE KVIITUNG OMA JUHATAJALE
MsgTimeSheetOfflineMode,Olete võrguühenduseta režiimis.\nSalvestage kviitung.
MsgReceiptHotspotTitle,TÖÖPUNKTI KOOD
MsgReceiptHotspotCode,Kood
MsgReceiptHotspotDuration,Kestus (minutites)
MsgReceiptCheckInTimeCheckIn,Saabumise aeg
MsgReceiptCheckInTimeCheckOut,Lahkumise aeg
MsgReceiptCheckInCheckIn,Registreeris tööle saabumise
MsgReceiptCheckInCheckOut,Registreeris töölt lahkumise
MsgReceiptCheckInCheckInError,Tõrge. Töötaja ei lahkunud\neelmisest vahetusest.
MsgReceiptCheckInCheckOutError,Tõrge. Töötaja ei saabunud\neelmisse vahetusse.
MsgReceiptOther,Muu
MsgReceiptCurrencyPlural,Dollarid
MsgReceiptCurrencySingular,Dollar
MsgReceiptCurrencyTitlePlural,Valuutad
MsgReceiptDatetime,Kuupäev ja kellaaeg
MsgReceiptPersonLoggedIn,Sisselogitud kasutaja
MsgReceiptPrinter,Printer
MsgReceiptOriginal,Originaal
MsgReceiptRemaining,Jääk
MsgReceiptOrder,Tellimus
MsgReceiptInvoice,Arve
MsgReceiptEmployee,Töötaja
MsgReceiptRole,Roll
MsgReceiptName,Nimi
MsgReceiptDate,Kuupäev
MsgReceiptTime,Kellaaeg
MsgReceiptHours,Tööaeg
MsgReceiptTotalHours,Kokku tunde
MsgReceiptCallNumber,Kõne number
MsgReceiptCallName,Kõne nimi
MsgReceiptTable,Laud
MsgReceiptBarTab,Baarikoht
MsgReceiptCustomer,Klient
MsgReceiptCustomerShort,Klient
MsgReceiptServer,Teenindaja
MsgReceiptTransaction,Tehing
MsgReceiptPaidWith,Maksevahend
MsgReceiptBill,Arve
MsgReceiptTotal,Kokku
MsgReceiptExchangeValue,Vahetusväärtus
MsgReceiptReturnValue,Tagastatud
MsgReceiptAppliedDeposit,Rakendatud deposiit
MsgReceiptSumTotal,Kogusumma
MsgReceiptSumTotal2,Kogusumma:
MsgReceiptServiceCharge,Teenustasu
MsgReceiptOnlineTip,Võrgus
MsgReceiptReceiptServiceCharge,Kviitungi teenustasu
MsgReceiptCash,Sularaha
MsgReceiptCredit,Krediit
MsgReceiptPreAuth,Eelnev autentimine
MsgReceiptTermID,Terminali ID
MsgReceiptAuthCode,Autentimiskood
MsgReceiptSeq,Järjenumber
MsgReceiptAccountNumber,Kontonumber
MsgReceiptEntryMethod,Kirjeviis
MsgReceiptCardBrand,Kaardi firmamärk
MsgReceiptGiftCard,Kinkekaart
MsgReceiptRewardCard,Preemiakaart
MsgReceiptCreditCard,Krediitkaart
MsgReceiptCreditPlus,Krediit +
MsgReceiptDeposit,Deposiit
MsgReceiptCheck,Tšekk
MsgReceiptGiftCert,Kinkesert
MsgReceiptGift,Kingitus
MsgReceiptTax,Maks
MsgReceiptTip,Jootraha
MsgReceiptIndex,Index
MsgReceiptDiscount,Allahindlus
MsgReceiptStation,Jaam
MsgReceiptRevenueCenter,Müügitulu
MsgReceiptPrintedAt,Printimiskoht
MsgReceiptSpecialRequest,Erinõue
MsgReceiptSpecialInstructon,Erisuunised
MsgReceiptSignatureAndTotal,Allkiri ja kokku
MsgReceiptReceiptOptions,Kviitungi valikud
MsgReceiptReceiptHowWouldYouLike,Kuidas soovite kviitungi saada?
MsgReceiptSignature,Allkiri
MsgReceiptCashier,Kassiir
MsgReceiptReportPrintedBy,Kviitung on prinditud
MsgReceiptAgreementLine1,Nõustun tasuma ülaltoodud kogusumma
MsgReceiptAgreementLine2,vastavalt kaardiväljastaja lepingule.
MsgReceiptBreakdown,Katkestus
MsgReceiptBreakdownNet,NETO
MsgReceiptBreakdownTax,MAKS
MsgReceiptBreakdownGross,Bruto
MsgReceiptSeatCount,Kohtade arv
MsgReceiptNotes,MÄRKUSED
MsgReceiptTableOwner,Laua omanik
MsgReceiptTakenBy,Võtja:
MsgReceiptGiftCardNumber,Kinkekaardi number
MsgReceiptRewardCardNumber,Preemiakaardi number
MsgReceiptUnknown,Teadmata
MsgReceiptCardBalance,Kaardi saldo
MsgReceiptPointBalance,Punktisaldo
MsgReceiptVisitsBalance,Külastuste saldo
MsgReceiptPurchasesBalance,Ostusaldo
MsgReceiptAuthNumber,Aut.-number
MsgReceiptSaleAmount,Müügisumma
MsgReceiptBalanceUsed,Kasutatud saldo
MsgReceiptBalanceDue,Tasumata saldo
MsgReceiptOrderBalanceDue,Tasumata tellimuse saldo
MsgReceiptOrderBalanceDueCut,Tasumata tellimus
MsgReceiptCustomerPaid,Klient maksis
MsgReceiptCustomerChange,Kliendile tagasi
MsgReceiptDeliverTo,Kohaletoimetamise koht
MsgReceiptTotalTax,Kokku maks
MsgReceiptCashRoundingDelta,Ümardamine
MsgReceiptSeat,Koht
MsgReceiptOfSale,müügist:
MsgReceiptSuggestedTips,Soovitatud jootrahad
MsgReceiptIncluded,Kaasa arvatud
MsgReceiptPayPal,PayPal
MsgReceiptTipIncludesAutoGratuity,Jootraha sisaldab automaatset jootraha: 
MsgReceiptAwardedPoints,Antud punkte
MsgReceiptNewProducts,Uued tooted
MsgReceiptNewProductsName,Nimi
MsgReceiptNewProductsBarcode,Vöötkood
MsgReceiptNewProductsUnitOfMeasure,Mõõtühik
MsgReceiptNewProductsInventoryQuantity,Laokogus
MsgReceiptNewProductsPrice,Hind
MsgReceiptNewProductsTax,Maks
MsgReceiptNewProductsEmbedded,Lisatud
MsgReceiptNewProductsSoldByWeight,Müük kaalu järgi
MsgReceiptNewProductWouldYouLike,Kas soovite luua uue toote vastendamata vöötkoodiga?
MsgReceiptReceiptlessReturnReceiptTotalCash,Sularaha kokku:
MsgReceiptReceiptlessReturnReceiptTotalCredit,Poekrediit kokku:
MsgReceiptReceiptlessReturnReceiptProductName,Toode
MsgReceiptReceiptlessReturnReceiptReturn,Tagasi
MsgReceiptReceiptlessReturnReceiptTax,Maks
MsgReceiptReceiptlessReturnReceiptTotal,Kokku
MsgReceiptDelivery,Kohaletoimetamine
MsgReceiptDeliveryDate,Kohaletoimetamise kuupäev
MsgReceiptCustomerCopy,Kliendi koopia
MsgReceiptMerchantCopy,Kaupmehe koopia
MsgReceiptEach,tk
MsgReceiptTaxOnSurchargeFormat,%@ / %@
MsgReceiptSurcharge,Lisatasu
MsgReceiptUntaxed,Maksustamata
MsgReceiptMiscTax,Mitmes.
MsgReceiptPrevailingTax,Valitsev maksumäär
MsgReceiptTaxBreakdownTitle,Maksuliigendus
MsgReceiptTaxBreakdownTotal,Kokku
MsgReceiptTaxBreakdownRate,Määr
MsgReceiptTaxRebate,Maksusoodustus
MsgReceiptBadgeTotal,Tellimus on autoriseeritud ja lisatakse rühma omaniku märgisele.\nTöötav rühm kokku: %@
MsgReceiptVatNumber,KMKR number
MsgReceiptYouSaved,Teie sääst
MsgReceiptPriceIncludesTaxes,Hind sisaldab makse
MsgReceiptTotalTaxesCollected,Kokku makse kogutud:
MsgWaitingForTipSelection,Jootraha valimise ootel
MsgWaitingForSignature,Allkirja ootel
MsgWaitingForRedeemRewards,Kliendi preemia valimise ootel
MsgWaitingForReceiptSelection,Kviitungi valimise ootel
MsgWaitingForEmailEntry,E-posti sisestamise ootel
MsgOverridingTheDisplayUnit,Kuvaseadme alistamine suunab viipasid nägeva kliendi ümber kassasse. Kas soovite jätkata?
MsgCall,Kõne nr
MsgReceiptOriginalReceipt,Originaalkviitung
MsgReceiptOnSpotGift,Kink kohapeal
MsgReceiptCancelledOrder,Tühistatud tellimus
MsgReceiptTotalRedeemedPoints,Lunastatud punktide kogusumma
MsgReceiptYourCurrentBalance,Teie jooksevkonto saldo
MsgReceiptOrderNumber,Tellimus #%@
MsgReceiptMoved,TEISALDATUD
MsgReceiptMovedTo,teisalduskoht
MsgReceiptToDestination,KOHALETOIMETUSKOHT
MsgBringStoreCreditReceipt,"Võta see kviitung poodi kaasa, et lunastada poekrediiti"
MsgReceiptPaymentTotal,Maksed kokku
MsgReceiptProductForecastingStartOfReport,Toote müügiprognoosi aruanne
MsgReceiptProductForecastingEndOfReport,Aruande lõpp
MsgReceiptProductForecastingPrep,Ettevalmistus
MsgReceiptProductForecastingTotalsForDay,Päeva kogusumma
MsgReceiptProductForecastingNextDay,Järgmine päev
MsgReceiptProductForecastingForecast,Müügiprognoos
MsgReceiptProductForecastingEstimated,Est
MsgReceiptProductForecastingCumulative,Kumulatiivne
MsgReceiptProductForecastingPrior,Eelmine
MsgReceiptProductForecastingNotificationBody,Prindi %@ aruanne
MsgReceiptProductForecastingStartOfDay,Alguskuupäev
MsgReceiptProductForecastingTimeSlot,Ajablokeering
MsgBarTabNumber,Kaart #
MsgBarTabTitle,Baarikoht nr %d
MsgBarTabsTitle,Baarikohad %@
MsgBarTabsFindTitle,Leia koht
MsgOrderSelectTitle,Valige tellimus
MsgBarTabsFindPlaceholder,Sisestage koha nr või kliendi nimi
MsgBarTabsFindNoResults,Avatud vastavat baarikohta ei leitud.
MsgBarTabsFindNoResultsOpenNewTab,Avatud vastavat baarikohta ei leitud. Kas soovite avada uue koha?
MsgTablesFindNoResultsSelectAvailableTable,Valige saadaolev laud
MsgBarTabsSearchPlaceholder,"Sisestage vahekaardi nr, kliendi nimi, tellimuse ID"
BtnBarTabsOpen,Ava koht
BtnBarTabsFind,Leia koht
BtnBarTabsBarcode,Skanni koht
MsgCustomersHome,Kodu
MsgCustomersOffice,Kontor
MsgSelectOrderType,Valige tellimuse tüüp
MsgOrderTypeAll,Kuva kõik tellimused
MsgOrderTypeHouse,Kuva ainult majakontod
MsgOrderTypeInvoices,Kuva tasumata arved
MsgOrderTypeHouseTitle,Majakontod
MsgOrderFilterPaid,Tasutud
MsgOrderFilterBilled,Arve esitatud
MsgOrderListTitle,Tellimused
MsgOrderListTitleWithCustomerName,Isiku %@ tellimused
MsgOrderListTitleLoading,Tellimusi laaditakse...
MsgOrderInvoicesListTitleLoading,Arveid laaditakse...
MsgCustomersUpdateCCInfo,Uuenda krediitkaarditeavet
MsgOrderInvalidEstablishment,Tellimuste avamine teisest asutusest pole lubatud.
MsgOrderSelectOrder2,Valige tellimus.
MsgOrderDoNotExist,Sellel kliendil pole tellimusi.
MsgInvoiceDoNotExist,Sellel kliendil pole arveid.
MsgReceiptInvoiceBalanceDue,Tasumata arve saldo
MsgCateringTitleLoading,Toitlustuse kohaletoimetamine - Laadin...
MsgCateringTitle,Toitlustuse kohaletoimetamine
MsgCateringTitleCustomerAndCallName,Kliendi/kõne number
MsgCateringTitleProduct,Toode
MsgCateringComplete,Lõpetatud
MsgCateringQuantity,Kogus
MsgCateringTitleCateringDate,Kohaletoimetamise kuupäev
MsgCateringFilter,"Kuva kirjed, mille kohta:"
MsgCateringCompleteTitle,Lõpeta tellimus
MsgCateringCompleteSelected,Lõpeta valitud
MsgCateringCompleteAll,Lõpeta kõik
BtnCateringShowComplete,Kuva lõpetatud
BtnCateringShowActive,Kuva aktiivsed
BtnCateringComplete,Lõpetatud
BtnCateringCompleting,Lõpetamine
CmtCateringCompleted,Lõpetatud
BtnCateringApplyToOrder,Rakenda tellimusele
BtnCateringApplyToItems,Rakenda üksus(t)ele
MsgCateringSerialNumberMissing,Selles kättetoimetuses oleva(te)l kaubaartikli(te)l ei ole järjenumbreid. Enne jätkamist lisage järjenumbrid.
MsgCateringSelectItems,Valige välja kaubaartikkel(-artiklid)
MsgFilterToday,Täna
MsgFilterTomorrow,Homme
MsgFilterFuture,Tulevikus
MsgFilterYesterday,Eile
MsgFilterEverything,Kõik
MsgFilterWeek,Nädal
MsgFilterMonth,Kuu
MsgFilterAnyDate,Lõppkuupäev
MsgFilterActive,Kuva aktiivsed
MsgFilterComplete,Kuva lõpetatud
MsgOrdersExpand,Laienda kõik
MsgOrdersCollapse,Rühmita tellimuse järgi
MsgOrdersGroupByItem,Rühmita üksuse järgi
MsgOrderPriceOverrideDaily,See muudab kaubaartikli hinna üksnes sellele POS-jaamale. Teistele jaamadele tuleb see muudatus levitada käsitsi.
MsgOrderPriceOverrideServer,See muudab üksuse hinda serveris. Uue hinna levitamiseks peate teisi jaamu värskendama.
MsgOrderPriceOverrideServerSuccess,Hind on muudetud väärtusele %@.  Värskendage selle muudatuse levitamiseks teisi kassajaamu.
MsgOrderPriceOverrideServerFail,Hinna alistamine nurjus.
MsgOrderOverridePrice,Alista hind
BtnOrderOverridePricePerUnit,Tühista\nühiku hind
BtnOrderOverridePriceTotal,Tühista\nkoguhind
MsgOrderPriceOverrideHelp,Ühekordne – üksuse hinna muutmine üks kord.\n\nPäevane – üksuse hinna muutmine kuni südaööni selles kassajaamas.\n\nServer – üksuse hinna muutmine serveris. Uue hinna levitamiseks peate värskendama teisi kassajaamu.
BtnOrderSingleOverride,Ühekordne
