LocaleIdentifier,LT
MsgOrderItemShare,Dalytis
MsgOrderItemSplitWithSeat,Pasidalyti su %d vietoje sėdinčiu asmeniu
MsgOrderItemDiscount,Nuolaida
MsgOrderItemNoCourseWithDate,***** Nėra patiekalo%@ *****
MsgOrderItemCourseWithDate,***** Patiekalas %d%@ *****
MsgOrderItemSeat,%d sėdimoji vieta
MsgOrderItemS,%d v.
MsgOrderItemLayaway,**Atidėjimas**
MsgOrderItemVoided,Anuliuota
MsgOrderItemComps,Veltui
MsgOrderItemReturned,Grąžinta
MsgOrderGratuityNonEditableHasPayments,Yra atliktų šio užsakymo mokėjimų. Negalima pridėti arba pašalinti įskaičiuojamųjų arbatpinigių.
MsgOrderGratuityFullAmountAllowed,Užsakymo su įskaičiuotaisiais arbatpinigiais apmokėjimas dalimis negalimas.
MsgOrderCategory,KATEGORIJA
MsgOrderSubCategory,PAKATEGORIS
MsgOrderProducts,PRODUKTAI
MsgOrderTopMenu,TOP MENIU
MsgOrderNoTipsTitle,Be arbatpinigių
MsgOrderNoTips,Už šį užsakymą taškai nesuteikiami.
MsgOrderNoTipsForBill,Kai kuriose sąskaitose neįtraukti arbatpinigiai. Palikti užsakymą atidarytą?
BtnLeaveTip,LevelUp arbatpinigiai
BtnCloseOrder,Uždaryti užsakymą
MsgOrderRefundExtraAmount,Prieš uždarydami grąžinkite susidariusį likutį.
MsgOrderPayRemainingAmount,Nepavyko uždaryti užsakymo. Prašome sumokėti likutį.
MsgOrderNoItemsForNextCourse,Prie kito patiekalo neišvardyti produktai.
MsgOrderEnterPrice,Įvesti kainą
MsgOrderSelectSeat,Pasirinkti vietą
MsgOrderSelectSeatPlease,Pasirinkite lankytojų skaičių.
MsgOrderSeatWithNumber,%d sėdimoji vieta
MsgOrderSetSeat,Įveskite vietos nr.
MsgOrderSetGuestCount,Įveskite svečių skaičių
MsgOrderSeat,Sėdimoji vieta
MsgOrderSeats,Vietos
MsgOrderGuest,Svečias
MsgOrderGuests,Svečiai
MsgOrderSelectCourse,Pasirinkti patiekalą
MsgOrderCourseWithNumber,%d patiekalas
MsgOrderTableCantMoveIsUnsynced,"Negalima perkelti, nes paskirties užsakymas nesusinchronizuotas su pagrindiniu POS terminalu."
MsgOrderSplitBillsClear,Padalytos sąskaitos bus išvalytos. Tikrai norite tęsti?
MsgOrderSplitBillsNumberExceeded,Palaikoma iki 15 kvitų.
MsgOrderSmallAmountForSplitting,Kiekvienos padalytos sąskaitos suma turi viršyti $%.2f.
MsgOrderAddExtraItemTitle,Pridėti papildomą produktą
MsgOrderAddExtraItemName,Pavadinimas
MsgOrderAddExtraItemPrice,Kaina
MsgOrderAddExtraItemPricePerUnit,Kaina už vnt.
MsgOrderAddExtraItemTax,Mokesčiai
BtnOrderAddExtraItemWeight,Svoris
BtnOrderAddExtraEnterName,Įveskite produkto pavadinimą.
BtnOrderAddExtraEnterPrice,Įveskite kainą prieš suaktyvinant svarstykles.
MsgOrderAddExtraItemSelectName,Pasirinkti pavadinimą
MsgOrderAddExtraItemSelectNameTax,Mokestis: %.1f%%
MsgOrderAddExtraItemSaveToServer,Įrašyti į serverį
MsgOrderAddExtraItemTaxFreeItem,Neapmokestinama
MsgOrderAddExtraItemWeightedItem,Pasvertas produktas
MsgOrderAddExtraItemEmbeddedItem,Įtrauktas produktas
MsgOrderAddExtraItemSaving,Įrašoma
MsgOrderAddExtraItemSavingFailed,Produktas neišsaugotas serveryje ir bus saugomas vietoje.
MsgOrderAddExtraItemTaxSavingWarning,"Tinkinta mokesčių suma nebus įrašyta į serverį, bet bus išsaugota užsakyme prie produkto."
MsgOrderAddExtraItemNoMatchFound,Nepavyko rasti atitikmens
MsgOrderExtraItem,Produktas
BtnOrderAddItem,Pridėti produktą
MsgOrderAddItemCopying,Kopijuojama
MsgOrderPrintReceiptsTitle,Spausdinti kvitus
MsgOrderPrintReceiptsPrintWhat,Yra šio užsakymo mokėjimų kreditine kortele kvitų. Kuriuos kvitus norite spausdinti?
MsgOrderPrintReceiptsSplitPrintWhat,Kuriuos kvitus norite spausdinti?
BtnOrderPrintReceiptsGuest,Svečias
BtnOrderPrintReceiptsSummary,Suvestinė
BtnOrderPrintReceiptsCredit,Kreditas
MsgOrderHappyHour,Laimės valanda
MsgOrderRefundCustomer,Grąžinkite pinigus %@ pirkėjui.
MsgOrderRefundCompleted,%@ grąžinta %@.
MsgOrderRefundToNewCard,Iš naujo įkelti dovanų kortelę
MsgOrderFailedToAddGiftCard,Nepavyko anuliuoti dovanų kortelės.
MsgOrderPrintReceiptTitle,Spausdinti kvitą
MsgOrderPrintGiftReceiptTitle,Spausdinti dovanų kvitą
MsgOrderPrintReceiptActions,Ar norite spausdinti kvitą?
MsgOrderPrintRefundReceiptForActions,Ar spausdinti grąžinimo kvitą dėl %@?
MsgOrderPrintGiftReceiptActions,Ar spausdinti dovanų kvitą?
MsgOrderPrintInvoiceTitle,Sąskaitos faktūros gavimo parinktys
MsgOrderPrintInvoiceActions,Kaip norite gauti sąskaitą faktūrą?
MsgOrderPrintTypeTitle,Spausdinimo parinktys
MsgOrderPrintTypeActions,Pasirinkite: Užsakymo kvitas ar sąskaita faktūra
BtnOrderPrintReceiptEmail,El. paštas
BtnOrderPrintReceiptExpensify,Expensify
BtnOrderPrintReceiptSignature,Parašas
MsgOrderCusomerSigned,Pirkėjas pasirašė
MsgOrderInvoiceTemplateIsInvalid,Netinkamas sąskaitos faktūros šablonas.\nPrašome kreiptis į klientų aptarnavimo skyrių.
MsgOrderWaitLoayalTreeRewardsTitle,Paslauga „LoyalTree“
MsgOrderLoaylTreeMsg,Laukite „LoyalTree“ atsakymo...
MsgOrderItemIsNotAFuelGradeCheckConfiguration,Produktas nepažymėtas kaip priklausantis degalų klasei. Reikalingi pakeitimai duomenų bazėje.
MsgMistmatchInPriceBetweenFCAndPOS,Skiriasi produkto %@ kaina tarp (Forecourt Controller) ir kasos.
MsgOrderSelectOwner,Pasirinkti stalelio užsakymų valdytoją
MsgOrderSelectEmployee,Rink. darb.
MsgOrderSelectProducts,Pasirinkti produktus
MsgOrderSelectProductsForLayaway,"Pasirinkti produktus, kuriuos šalinti iš produktų atsargų aprašo"
MsgOrderAddQuantity,Pridėti kiekį
MsgOrderSetQuantity,Nustatyti kiekį
MsgOrderEnterQuantity,Įvesti kiekį
MsgOrderQuantityCouldNotBeChanged,Kiekio pakeisti negalima.
MsgOrderSelectOrder,Pasirinkti užsakymą
MsgOrderSelectTable,Pasirinkti stalelį
MsgOrderReprint,Spausdinti iš naujo
MsgOrderSendToKitchen,Siųsti į virtuvę
MsgOrderReachedMaxQty,Pasiektas maksimalus produktų skaičius.  Daugiau produktų į šį užsakymą pridėti negalima.
MsgOrderLocked,Užsakymą redagavo %@ %@ terminale.
MsgOrderLockedPrinting,Vykdoma užsakymo spausdinimo užduotis.
MsgOrderChangedSaveFailed,Užsakymas pakeistas. Nepavyko įrašyti.
MsgOrderSaveFailed,Užsakymo išsaugoti nepavyko
MsgOrderCollisionDetected,"Užsakymas pakeistas pagrindiniame POS terminale. Vietos užsakymas perrašytas, nes skyrėsi nuo pagrindinės kopijos."
MsgOrderCollisionDetectedItems,Panaikinta produktų: %d
MsgOrderCollisionDetectedPaymentsRefunds,Grąžinta vietos mokėjimų: %d. Bendra suma: %@\n.
MsgOrderCollisionDetectedPayments,Perteklinių vietos mokėjimų: %d. Bendra suma: %@.\nAr norite grąžinti perteklinius mokėjimus?
MsgOrderDeletedSaveFailed,Užsakymas susinchronizuotas su debesų serveriu ir pašalintas iš pagrindinio POS terminalo.
MsgOrderDeletedLoadFailed,Užsakymas susinchronizuotas su debesų serveriu ir pašalintas iš pagrindinio POS terminalo.
MsgOrderMainNotReachable,Nepavyko pasiekti pagrindinio POS terminalo.
MsgOrderCloudNotReachable,Nepavyko prisijungti prie debesų serverio. Patikrinkite interneto ryšį.
MsgOrderLoadEmpty,"Užsakymas tuščias, todėl negali būti įkeltas."
MsgOrderPrinting,Spausdinamas #%@ užsakymas
MsgOrderOnline,Užsakymas internetu
MsgOrderNotPrinted,NEIŠSPAUSDINTAS
MsgOrderInCorrect,NETEISINGAS
MsgOrderNotFound,NERASTAS
MsgOrderSelectPrinter,Pasirinkti spausdintuvą
MsgOrderSelectLanguage,Pasirinkite kvitų kalbą
MsgOrderDefaultLanguage,Numatytoji kalba
MsgOrderSecondaryLanguage,Antrinė kalba
MsgOrderHeldOrder,Atidėtas užsakymas
MsgOrderHeldOrders,Atidėti užsakymai
MsgOrderUnsyncedOrder,Nesusinchronizuotas užsakymas
MsgOrderUnsyncedOrders,Nesusinchronizuoti užsakymai
MsgOrderOpenWebOrder,Užsakymas internetu
MsgOrderOpenWebOrders,Užsakymas internetu
MsgOrderUnprinted,Neišspausdinti užsakymai
MsgOrderUnprintedWebOrder,Neišspausdintas internetinis užsakymas
MsgOrderUnprintedWebOrders,Neišspausdinti internetiniai užsakymai
MsgOrderDeliveryCharge,Pristatymo mokestis
MsgOrderIsNotFullyPaid,Dabartinis užsakymas nepilnai apmokėtas. Pirmiausia apmokėkite likusią sumą.
MsgOrderTargetTableHasOrder,Yra atviras %@ skirtas užsakymas.  Pasirinkti %@ bus įtraukti į tą užsakymą.  Tęsti?
MsgOrderBagCharge,Pakuotės mokestis
MsgOrderEnterSerialNumber,Įvesti serijos numerį
MsgOrderEnterCallNumber,Įvesti kviečiamąjį numerį
MsgOrderEnterSerialNumberForProduct,Įvesti %@ serijos numerį
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,Serijos numerio laukelis tuščias.\nĮrašykite tinkamą serijos numerį.
MsgOrderSerialNumberShort,Ser. nr.
MsgOrderFindOrdersBySerialNumber,Ieškoti užsakymų pagal serijos numerį
MsgOrderFoundProductsWithSN,"Rasti produktai, kurių ser. nr. %@"
MsgOrderProductWithIdNotFoundInDb,"Rinkinio pridėti nepavyko.\nProduktas \""%d\"" nerastas."
MsgOrderSearchBySN,Užsakymai pagal ser. nr.:
MsgOrderSearchBySNFromAnotheEstablishment,"%@ užsakymas sukurtas kitoje įstaigoje.  Jeigu norite grąžinti šią prekę, eikite į „Nuostatos“, „Produktų grąžinimas“."
MsgReceiptlessReturnSearchBySN,Ieškoti pagal ser. nr.
MsgOrderSerialNumberMissingTitle,Neegzistuojantis serijos numeris(-iai)
MsgOrderAddSerialNumbersBeforeContinuing,Prieš uždarydami grąžinkite susidariusį likutį.
MsgOrderNewInvoice,Nauja sąskaita faktūra: %@
MsgOrderNewOrder,Naujas užsakymas: %@
MsgOrderOrderedBy,Užsakė: %@
MsgOrderMaximumGeneralTitle,Pasiekta maksimali užsakymo riba
MsgInvoiceMaximumGeneralTitle,Pasiekta maksimali sąskaitos faktūros riba
MsgOrderMaximumGeneralMessage,tęsti produktų įtraukimą
MsgOrderMoveNotAllowedBecauseOfSplitBills,Nepavyko susieti užsakymo su sąskaita faktūra.
MsgPrintManagementTitle,Spausdintuvo valdymas
MsgPrintManagementPrinterDetails,Spausdintuvo duomenys
MsgPrintManagementSetFontSize, 
MsgPrintInvalidConfig,Netinkama spausdintuvo konfigūracija
MsgPrintReceiptOptionsTitle,Receptų spausdinimo parinktys
MsgPrintReceiptOptionsLabelSize,Etiketės dydis
MsgPrintReceiptOptionsPrinterIPPort,Spausdintuvo IP prievadas
MsgPrintReceiptOptionsWidth,Plotis
MsgPrintReceiptOptionsHeight,Aukštis
MsgPrintReceiptOptionsLargeLabel,Didelė
MsgPrintReceiptOptionsSmallLabel,Maža
MsgPrintReceiptOptionsCustomLabel,Tinkinta etiketė
BtnPrintRedirect,Peradresuoti
BtnPrintNoRedirect,Atšaukti\nperadresavimą
BtnPrintRedirectingTo,Peradresuojama į
BtnPrintRecipe,Receptas
BtnPrintUseForLabels,Etiketė
BtnPrintLabelsOptions,Etiketės parinktys
MsgPrintFontNormal,Normalus
MsgPrintFontLarge,Didelė
MsgPrintPrinterNotResponding,"Spausdintuvas ‚%@‘ nereaguoja. Įsitikinkite, kad jis įjungtas."
MsgPrintPrinterNotRespondingKiosk,Spausdintuvas sugedo.  Pereikite prie mokėjimo terminalo.
MsgPrintCashDrawerNotResponding,Grynųjų pinigų stalčius nereaguoja. Patikrinkite
MsgReceiptDeliveryTime,Pristatymo laikas
MsgReceiptPickupTime,Atsiėmimo laikas
MsgOrderViewPickup,Atsiimti
MsgReceiptASAPTime,Skubiai!
MsgReceiptDueDate,Numatyta data
MsgPrintLabelForItem,Spausdinti pasirinkto produkto etiketę
MsgPrintLabelForCategory,Spausdinti kategorijos etiketę
MsgPrintLabelNoBarcode,Nėra produkto brūkšninio kodo.
MsgPrintLabelQuantity,Kiekis
MsgPrintLabelEnterQuantity,Įvesti kiekį
MsgLabelPrinterIsNotSet,Nenustatytas etikečių spausdintuvas.
MsgPrintLabelOptionsTitle,Etikečių spausdinimo parinktys
MsgLabelType,Etiketės tipas
MsgPrintLabelOptionsPrintName,Spausdinti pavadinimą
MsgPrintLabelOptionsPrintPrice,Spausdinti kainą
MsgPrintLabelOptionsWidth,Plotis
MsgPrintLabelOptionsHeight,Aukštis
MsgPrintLabelOptionsPricingLabel,Kainos etiketė
MsgPrintLabelOptionsStockLabel,Sandėlio etiketė
MsgPrintLabelOptionsJewelry,Papuošalai
MsgOrderReceiptTitle,Kvitas
MsgOrderGiftReceiptTitle,Dovanų kvitas
MsgOrderVoidReceiptTitle,Anuliavimo kvitas
MsgOrderExchangeReceiptTitle,Keitimo kvitas
MsgReceiptPaymentLog,Mokėjimų žurnalas
MsgReceiptDailyPaymentLog,Dienos mokėjimų žurnalas
MsgReceiptTotalPaymentReceipt,Visų mokėjimų ataskaita
MsgReceiptCashLog,Grynųjų pinigų žurnalas
MsgReceiptCashLogStartingCash,Pradinė grynųjų pinigų suma
MsgReceiptCashLogPayoutAmount,Išėmimo suma
MsgReceiptCashLogPayInAmount,Įdėjimo suma
MsgReceiptCashLogSafeDropAmount,Išėmimo iš seifo suma
MsgReceiptCashLogCoinsDispensed,Paskirstyta monetų
MsgReceiptCashLogTotal,Bendra grynųjų pinigų suma
MsgReceiptCashLogExpectedCashInTill,Kasos terminalo stalčiuje turinti būti grynųjų pinigų suma
MsgReceiptCashLogCheckOut,Grynųjų pinigų žurnalas atsiskaitymui
MsgReceiptCashLogCheckOutStartingCash,Pradinė bendra grynųjų pinigų suma
MsgReceiptCashLogCheckOutPayoutAmount,Išėmimo suma
MsgReceiptCashLogCheckOutPayInAmount,Įdėjimo suma
MsgReceiptCashLogCheckOutCoinsDispensed,Paskirstyta monetų
MsgReceiptCashLogCheckOutCashTransactions,Operacijos grynaisiais pinigais
MsgReceiptCashLogCheckOutExpectedCashInTill,Kasos terminalo stalčiuje turinti būti grynųjų pinigų suma
MsgReceiptCashLogCheckOutEndingCashTotal,Galutinė bendra grynųjų pinigų suma
MsgReceiptCashLogCheckOutDifference,Skirtumas
MsgReceiptCashLogCheckOutBankDrop,Įnešimas į banką
MsgReceiptCashLogOpenedBy,Atidarė
MsgReceiptCashLogHeldBy,Atidėjo
MsgReceiptCashLogClosedBy,Uždarė
MsgReceiptCashLogPayOut,Išėmimas
MsgReceiptCashLogPayIn,Įdėjimas
MsgReceiptMadeBy,Pagamino
MsgTillsOwnedBy,Priklauso
MsgReceiptGiftCardCertificateNumber,Sertifikato numeris
MsgReceiptGiftCardAuthNumber,Autor. numeris
MsgReceiptGiftCardLoadAmount,Įnešta suma
MsgReceiptGiftCardLoadBonusAmount,Įnešta premijos suma
MsgReceiptGiftCardLoadBonusPercentage,% premija
MsgReceiptGiftCardOriginalBalance,Originalus likutis
MsgReceiptGiftCardBalance,Likutis
MsgReceiptSafeDrop,Išėmimas iš seifo
MsgReceiptBankDropAmountOfDropTotal,Bendra į banką įnešta suma
MsgReceiptBankDropSignedBy,Pasirašė
MsgReceiptOfflineMode,ATJUNGTIES VEIKSENA
MsgReceiptSaveYourReceipt,IŠSAUGOKITE KVITĄ
MsgReceiptClockInTime,Seanso pradžios laikas
MsgReceiptClockOutTime,Seanso pabaigos laikas
MsgReceiptPresentReceiptToManager,PATEIKITE ŠĮ KVITĄ VADOVUI
MsgTimeSheetOfflineMode,Dirbate atjungties veiksena.\n Išsaugokite kvitą.
MsgReceiptHotspotTitle,INTERNETO TAŠKO KODAS
MsgReceiptHotspotCode,Kodas
MsgReceiptHotspotDuration,Trukmė (min.)
MsgReceiptCheckInTimeCheckIn,Seanso pradžios laikas
MsgReceiptCheckInTimeCheckOut,Seanso pabaigos laikas
MsgReceiptCheckInCheckIn,Pradžios laikas
MsgReceiptCheckInCheckOut,Pabaigos laikas
MsgReceiptCheckInCheckInError,Klaida. Darbuotojas neužbaigė seanso\npo ankstesnės pamainos.
MsgReceiptCheckInCheckOutError,Klaida. Darbuotojas nepradėjo seanso\nprieš ankstesnę pamainą.
MsgReceiptOther,Kita
MsgReceiptCurrencyPlural,Eurai
MsgReceiptCurrencySingular,Euras
MsgReceiptCurrencyTitlePlural,Valiutos
MsgReceiptDatetime,Data
MsgReceiptPersonLoggedIn,Prisijungęs asmuo
MsgReceiptPrinter,Spausdintuvas
MsgReceiptOriginal,Originalus
MsgReceiptRemaining,Likęs
MsgReceiptOrder,Užsakymas
MsgReceiptInvoice,Sąskaita faktūra
MsgReceiptEmployee,Darbuotojas
MsgReceiptRole,Pareigos
MsgReceiptName,Pavadinimas
MsgReceiptDate,Data
MsgReceiptTime,Laikas
MsgReceiptHours,Valandos
MsgReceiptTotalHours,Iš viso val.
MsgReceiptCallNumber,Kviečiamasis numeris
MsgReceiptCallName,Kviečiamasis vardas
MsgReceiptTable,Stalelis
MsgReceiptBarTab,Baro kortelė
MsgReceiptCustomer,Pirkėjas
MsgReceiptCustomerShort,Pirk.
MsgReceiptServer,Serveris
MsgReceiptTransaction,Operacija
MsgReceiptPaidWith,Atsiskaitymo būdas
MsgReceiptBill,Sąskaita
MsgReceiptTotal,Iš viso
MsgReceiptExchangeValue,Keitimo vertė
MsgReceiptReturnValue,Grąžinta
MsgReceiptAppliedDeposit,Įneštas užstatas
MsgReceiptSumTotal,Bendra suma
MsgReceiptSumTotal2,Bendra suma:
MsgReceiptServiceCharge,Aptarnavimo mokestis
MsgReceiptOnlineTip,Prisijungęs
MsgReceiptReceiptServiceCharge,Aptarnavimo mokestis kvite
MsgReceiptCash,Grynieji pinigai
MsgReceiptCredit,Kreditas
MsgReceiptPreAuth,Išankst. autor.
MsgReceiptTermID,Term ID
MsgReceiptAuthCode,Aut. kodas
MsgReceiptSeq,Seka
MsgReceiptAccountNumber,Sąskaitos numeris
MsgReceiptEntryMethod,Įrašo metodas
MsgReceiptCardBrand,Kortelės rūšis
MsgReceiptGiftCard,Dovanų kortelė
MsgReceiptRewardCard,Lojalumo kortelė
MsgReceiptCreditCard,Kreditinė kortelė
MsgReceiptCreditPlus,Kreditinė kortelė +
MsgReceiptDeposit,Užstatas
MsgReceiptCheck,Kvitas
MsgReceiptGiftCert,Dovanų kuponas
MsgReceiptGift,Dovana
MsgReceiptTax,Mokesčiai
MsgReceiptTip,Arbatpinigiai
MsgReceiptIndex,„Index“
MsgReceiptDiscount,Nuolaida
MsgReceiptStation,Kasos terminalas
MsgReceiptRevenueCenter,Pajamų centras
MsgReceiptPrintedAt,Atspausdinta
MsgReceiptSpecialRequest,Specialus pageidavimas
MsgReceiptSpecialInstructon,Specialūs nurodymai
MsgReceiptSignatureAndTotal,Parašas ir bendra suma
MsgReceiptReceiptOptions,Kvito parinktys
MsgReceiptReceiptHowWouldYouLike,Kas turėtų būti nurodyta kvite?
MsgReceiptSignature,Parašas
MsgReceiptCashier,Kasininkas (-ė)
MsgReceiptReportPrintedBy,Kvitas atspausdintas
MsgReceiptAgreementLine1,Sutinku sumokėti visą nurodytą sumą
MsgReceiptAgreementLine2,pagal mokėjimo kortelės išdavimo sutartį.
MsgReceiptBreakdown,Išskirstymas
MsgReceiptBreakdownNet,Be mok.
MsgReceiptBreakdownTax,Mokesčiai
MsgReceiptBreakdownGross,Su mok.
MsgReceiptSeatCount,Vietų skaičius
MsgReceiptNotes,PASTABOS
MsgReceiptTableOwner,Stalelio valdytojas
MsgReceiptTakenBy,Perėmė
MsgReceiptGiftCardNumber,Dovanų kortelės numeris
MsgReceiptRewardCardNumber,Lojalumo kortelės numeris
MsgReceiptUnknown,Nežinoma
MsgReceiptCardBalance,Likutis mokėjimo kortelėje
MsgReceiptPointBalance,Taškų likutis
MsgReceiptVisitsBalance,Apsilankymų balansas
MsgReceiptPurchasesBalance,Pirkimų balansas
MsgReceiptAuthNumber,Autor. numeris
MsgReceiptSaleAmount,Pardavimo suma
MsgReceiptBalanceUsed,Panaudotas likutis
MsgReceiptBalanceDue,Liko mokėti
MsgReceiptOrderBalanceDue,Liko mokėti
MsgReceiptOrderBalanceDueCut,Mokėtina užsakymo suma
MsgReceiptCustomerPaid,Pirkėjo sumokėta suma
MsgReceiptCustomerChange,Pirkėjui grąžintina suma
MsgReceiptDeliverTo,Pristatyti į
MsgReceiptTotalTax,Bendra mokesčių suma
MsgReceiptCashRoundingDelta,Suapvalinimo paklaida
MsgReceiptSeat,Sėdimoji vieta
MsgReceiptOfSale,nuo pardavimo sumos:
MsgReceiptSuggestedTips,Rekomenduojama arbatpinigių suma
MsgReceiptIncluded,Įskaičiuota
MsgReceiptPayPal,„PayPal“
MsgReceiptTipIncludesAutoGratuity,Su įskaičiuotaisiais arbatpinigiais:
MsgReceiptAwardedPoints,Suteikti taškai
MsgReceiptNewProducts,Nauji produktai
MsgReceiptNewProductsName,Pavadinimas
MsgReceiptNewProductsBarcode,Brūkšninis kodas
MsgReceiptNewProductsUnitOfMeasure,Matavimo vienetai
MsgReceiptNewProductsInventoryQuantity,Produktų atsargų apraše nurodytas kiekis
MsgReceiptNewProductsPrice,Kaina
MsgReceiptNewProductsTax,Mokesčiai
MsgReceiptNewProductsEmbedded,Užkoduota brūkšniniame kode
MsgReceiptNewProductsSoldByWeight,Parduodama pagal svorį
MsgReceiptNewProductWouldYouLike,Ar norite sukurti naują produktą nesutampančiu brūkšniniu kodu?
MsgReceiptReceiptlessReturnReceiptTotalCash,Iš viso grynųjų pinigų:
MsgReceiptReceiptlessReturnReceiptTotalCredit,Bendras parduotuvės kreditas:
MsgReceiptReceiptlessReturnReceiptProductName,Produktas
MsgReceiptReceiptlessReturnReceiptReturn,Grąžinti
MsgReceiptReceiptlessReturnReceiptTax,Mokesčiai
MsgReceiptReceiptlessReturnReceiptTotal,Iš viso
MsgReceiptDelivery,Pristatyti
MsgReceiptDeliveryDate,Pristatymo data
MsgReceiptCustomerCopy,Kopija pirkėjui
MsgReceiptMerchantCopy,Kopija pardavėjui
MsgReceiptEach,vnt.
MsgReceiptTaxOnSurchargeFormat,%@ už %@
MsgReceiptSurcharge,Priemoka
MsgReceiptUntaxed,Neapmokestinta
MsgReceiptMiscTax,Kita
MsgReceiptPrevailingTax,Vyraujantis mokestis
MsgReceiptTaxBreakdownTitle,Mokesčių pasiskirstymas
MsgReceiptTaxBreakdownTotal,Iš viso
MsgReceiptTaxBreakdownRate,Tarifas
MsgReceiptTaxRebate,Mokestinė nuolaida
MsgReceiptBadgeTotal,Užsakymas autorizuotas. Jis bus įtrauktas į grupės užsakymo valdytojo kortelę.\nDabar bendra grupės užsakymo suma yra %@.
MsgReceiptVatNumber,PVM kodas
MsgReceiptYouSaved,Sutaupėte
MsgReceiptPriceIncludesTaxes,Kaina nurodyta su mokesčiais.
MsgReceiptTotalTaxesCollected,Iš viso surinkta mokesčių:
MsgWaitingForTipSelection,"Laukiama, kol bus pasirinkti arbatpinigiai."
MsgWaitingForSignature,Laukiama parašo.
MsgWaitingForRedeemRewards,"Laukiama, kol pirkėjas pasirinks lojalumo taškus."
MsgWaitingForReceiptSelection,"Laukiama, kol bus pasirinktas kvitas."
MsgWaitingForEmailEntry,"Laukiama, kol bus įvestas el. pašto adresas."
MsgOverridingTheDisplayUnit,"Perrašius ekraną, raginimai aptarnauti pirkėją bus peradresuoti į POS terminalą. Ar norite tęsti?"
MsgCall,Kviečiamojo nr.
MsgReceiptOriginalReceipt,Originalus kvitas
MsgReceiptOnSpotGift,Momentinė dovana
MsgReceiptCancelledOrder,Atšauktas užsakymas
MsgReceiptTotalRedeemedPoints,Iš viso atsiimta taškų
MsgReceiptYourCurrentBalance,Jūsų dabartinis balansas
MsgReceiptOrderNumber,Užsakymas #%@
MsgReceiptMoved,PERKELTA
MsgReceiptMovedTo,Perkelta į
MsgReceiptToDestination,Į TIKSLO VIETĄ
MsgBringStoreCreditReceipt,"Kito apsilankymo metu atsineškite šį čekį, kad atsiimtumėtė parduotuvės kreditą."
MsgReceiptPaymentTotal,Mokėjimų žurnalas
MsgReceiptProductForecastingStartOfReport,Spausdinti mokesčių ataskaitą
MsgReceiptProductForecastingEndOfReport,Mėnesio pabaiga
MsgReceiptProductForecastingPrep,Paruošimas
MsgReceiptProductForecastingTotalsForDay,Bendrų sumų duomenys
MsgReceiptProductForecastingNextDay,Pirmyn
MsgReceiptProductForecastingForecast,Prognozė
