LocaleIdentifier,SP
MsgOrderRefundCustomer,Favor reembolsar al cliente %@
MsgOrderRefundCompleted,%@ reembolsado a %@.
MsgOrderRefundToNewCard,Ingrese no. de tarjeta de regalo
MsgOrderFailedToAddGiftCard,Error al anular la tarjeta de regalo
MsgOrderPrintReceiptTitle,Imprima Recibo
MsgOrderPrintGiftReceiptTitle,Imprimir Recibos de Regalo
MsgOrderPrintReceiptActions,Desea imprimir Recibo?
MsgOrderPrintRefundReceiptForActions,¿Quieres imprimir recibo de reembolso para %@?
MsgOrderPrintGiftReceiptActions,¿Quieres imprimir recibo de regalo?
MsgOrderPrintInvoiceTitle,Opciones de facturación
MsgOrderPrintInvoiceActions,¿Cómo le gustaría recibir su factura?
MsgOrderPrintTypeTitle,Opciones de impresión
MsgOrderPrintTypeActions,Seleccionar tipo de recibo: Recibo de pedido o invoice
BtnOrderPrintReceiptEmail,Correo electrónico
BtnOrderPrintReceiptExpensify,Expensify
BtnOrderPrintReceiptSignature,Firma
MsgOrderCusomerSigned,Firma del Cliente
MsgOrderInvoiceTemplateIsInvalid,La plantilla de factura es inválida.\nContacte a soporte al cliente.
MsgOrderWaitLoayalTreeRewardsTitle,Servicio LoyalTree
MsgOrderLoaylTreeMsg,Espere la respuesta de LoyalTree...
MsgOrderItemIsNotAFuelGradeCheckConfiguration,Artículo no está marcado como grado de combustible. Por favor revisa configuración en Consola web
MsgMistmatchInPriceBetweenFCAndPOS,"Discrepancia en precio entre Controlador de estación de combustible y POS, para producto %@"
MsgOrderSelectOwner,Seleccione Dueno de mesa
MsgOrderSelectEmployee,Seleccione al empleado
MsgOrderSelectProducts,Seleccione producto
MsgOrderSelectProductsForLayaway,Seleccione los productos que se eliminarán del inventario
MsgOrderAddQuantity,Agregue cantidad
MsgOrderSetQuantity,Defina Cantidad
MsgOrderEnterQuantity,Ingrese cantidad
MsgOrderQuantityCouldNotBeChanged,Cantidad no puede ser cambiada
MsgOrderSelectOrder,Seleccione un Orden
MsgOrderSelectTable,Seleccione una mesa
MsgOrderReprint,Volver a imprimir
MsgOrderSendToKitchen,Enviar a cocina
MsgOrderReachedMaxQty,Alcanzó el número máximo de productos  No pueden agregarse más productos a este pedido.
MsgOrderLocked,Orden siendo editada %@ en estacion %@
MsgOrderLockedPrinting,La orden de impresión está en progreso.
MsgOrderChangedSaveFailed,Orden fue cambiada
MsgOrderSaveFailed,Guardar pedido ha fallado
MsgOrderCollisionDetected,El pedido fue modificado en el POS principal. Su pedido local fue sobreescrito porque difiere de la copia maestra.
MsgOrderCollisionDetectedItems,%d artículo(s) eliminado(s).
MsgOrderCollisionDetectedPaymentsRefunds,%d pago(s) local(es) reembolsados por un total de %@\n.
MsgOrderCollisionDetectedPayments,%d el excedente de pagos locales ascienden a %@.\n¿Desea reembolsar el excedente?
MsgOrderDeletedSaveFailed,Orden fue sincronizada
MsgOrderDeletedLoadFailed,Orden fue sincronizada
MsgOrderMainNotReachable,Estacion Principal no conectada
MsgOrderCloudNotReachable,No se puede conectar con el servidor de la nube
MsgOrderLoadEmpty,Orden esta vacia y no se puede cargar
MsgOrderPrinting,Imprimiendo Orden #%@
MsgOrderOnline,Pedido en línea
MsgOrderNotPrinted,NO IMPRESO
MsgOrderInCorrect,INCORECTO 
MsgOrderNotFound,NO SE ENCONTRÓ
MsgOrderSelectPrinter,Seleccione Impresora
MsgOrderSelectLanguage,Escoja Lenguaje para recibos
MsgOrderDefaultLanguage,Idioma por defecto
MsgOrderSecondaryLanguage,Idioma secundario
MsgOrderHeldOrder,Orden Retenida
MsgOrderHeldOrders,Ordenes Retenidas
MsgOrderUnsyncedOrder,Orden no Sincronizada
MsgOrderUnsyncedOrders,Ordenes no Sincronizadas
MsgOrderOpenWebOrder,Pedido en línea
MsgOrderOpenWebOrders,Pedido en línea
MsgOrderUnprinted,Pedidos no impresos
MsgOrderUnprintedWebOrder,Pedido Web no impreso
MsgOrderUnprintedWebOrders,Pedidos Web no impresos
MsgOrderDeliveryCharge,Cargos por servicio a domicilio
MsgOrderIsNotFullyPaid,El pedido actual no ha sido pagado en su totalidad. Pague el saldo restante primero.
MsgOrderTargetTableHasOrder,Hay un pedido abierto en %@.  El %@ seleccionado se convertirá en parte de ese pedido.  ¿Continuar?
MsgOrderBagCharge,Carga por la bolsa
MsgOrderEnterSerialNumber,Introduzca el número de serie
MsgOrderEnterCallNumber,Introduzca el número de referencia
MsgOrderEnterSerialNumberForProduct,Introduzca el número de serie de %@
MsgOrderSerialNumberIsEmptyEnterValidSerialNumber,El número de serie está vacío.\nIntroduzca un número de serie válido.
MsgOrderSerialNumberShort,N/S
MsgOrderFindOrdersBySerialNumber,Buscar pedidos por número de serie
MsgOrderFoundProductsWithSN,Productos encontrados con N/S %@
MsgOrderProductWithIdNotFoundInDb,Error al agregar paquete. \nNo se encontró ningún producto con id “%d“.
MsgOrderSearchBySN,Pedidos por N/S:
MsgOrderSearchBySNFromAnotheEstablishment,"El pedido %@ fue creado en otro establecimiento.  Si necesita devolver este artículo, vaya a Ajustes/Devoluciones."
MsgReceiptlessReturnSearchBySN,Buscar por N/S
MsgOrderSerialNumberMissingTitle,Fanta(n) Número(s) de Serie
MsgOrderAddSerialNumbersBeforeContinuing,Por favor
MsgOrderNewInvoice,Nueva factura: %@
MsgOrderNewOrder,Nuevo pedido: %@
MsgOrderOrderedBy,Ordenado por: %@
MsgOrderMaximumGeneralTitle,Máximo del pedido alcanzado
MsgInvoiceMaximumGeneralTitle,Máximo de invoice alcanzado
MsgOrderMaximumGeneralMessage,continúa añadiendo artículos
MsgOrderMoveNotAllowedBecauseOfSplitBills,No puede combinarse el pedido con la factura.
MsgPrintManagementTitle,Configuracion de impresora
MsgPrintManagementPrinterDetails,Detalles de impresora
MsgPrintManagementSetFontSize,Establezca tamano de letra
MsgPrintInvalidConfig,Configuración de impresora no válida
MsgPrintReceiptOptionsTitle,Opciones de impresion de recibos
MsgPrintReceiptOptionsLabelSize,Tamaño de la etiqueta
MsgPrintReceiptOptionsPrinterIPPort,Puerto IP de impresora
MsgPrintReceiptOptionsWidth,Ancho
MsgPrintReceiptOptionsHeight,Alto
MsgPrintReceiptOptionsLargeLabel,Etiqueta Grande
MsgPrintReceiptOptionsSmallLabel,Etiqueta pequena
MsgPrintReceiptOptionsCustomLabel,Etiqueta actualizada por usted
BtnPrintRedirect,Redireccionar
BtnPrintNoRedirect,No Redireccionar
BtnPrintRedirectingTo,Redirigiendo a
BtnPrintRecipe,Recibo
BtnPrintUseForLabels,Usar para etiquetas
BtnPrintLabelsOptions,Opciones de etiquetas
MsgPrintFontNormal,Normal
MsgPrintFontLarge,Etiqueta Grande
MsgPrintPrinterNotResponding,Impresora '%@' no responde. Verifique que este prendida
MsgPrintPrinterNotRespondingKiosk,Hay un problema con la impresora.  Continúe a la estación de pago.
MsgPrintCashDrawerNotResponding,Gaveta de dinero que no responde por favor compruebe la conexion de la impresora
MsgReceiptDeliveryTime,Tiempo de entrega
MsgReceiptPickupTime,Tiempo de recolección
MsgOrderViewPickup,Recolección
MsgReceiptASAPTime,URGE
MsgReceiptDueDate,Fecha de vencimiento
MsgPrintLabelForItem,Imprimir etiqueta para el articulo seleccionado
MsgPrintLabelForCategory,Imprimir etiqueta para categoria
MsgPrintLabelNoBarcode,Producto no tiene codigo de barra
MsgPrintLabelQuantity,Cantidad
MsgPrintLabelEnterQuantity,Ingrese cantidad
MsgLabelPrinterIsNotSet,Impresora de etiquetas no establecida
MsgPrintLabelOptionsTitle,Opciones de impresora de etiquetas
MsgLabelType,Tipo de etiqueta
MsgPrintLabelOptionsPrintName,Nombre de Impresora
MsgPrintLabelOptionsPrintPrice,Imprimir Precio
MsgPrintLabelOptionsWidth,Ancho
MsgPrintLabelOptionsHeight,Alto
MsgPrintLabelOptionsPricingLabel,etiqueta de precio
MsgPrintLabelOptionsStockLabel,Etiqueta de stock
MsgPrintLabelOptionsJewelry,Joyeria
MsgOrderReceiptTitle,Recibo
MsgOrderGiftReceiptTitle,Recibo de Cert.Regalo
MsgOrderVoidReceiptTitle,Recibo de Anulación
MsgOrderExchangeReceiptTitle,Recibo de Intercambio
MsgReceiptPaymentLog,Registro de pago
MsgReceiptDailyPaymentLog,Registro de Pago Diario
MsgReceiptTotalPaymentReceipt,Reporte de totales de pagos
MsgReceiptCashLog,Registro de efectivo
MsgReceiptCashLogStartingCash,Iniciando efectivo
MsgReceiptCashLogPayoutAmount,Monto Pagado
MsgReceiptCashLogPayInAmount,Monto Recibido
MsgReceiptCashLogSafeDropAmount,Importe de depósito de caja fuerte
MsgReceiptCashLogCoinsDispensed,Monedas Entregadas
MsgReceiptCashLogTotal,Total Efectivo
MsgReceiptCashLogExpectedCashInTill,Efectivo previsto en Caja
MsgReceiptCashLogCheckOut,Registro de efectivo para checkout
MsgReceiptCashLogCheckOutStartingCash,Efectivo inicial
MsgReceiptCashLogCheckOutPayoutAmount,Monto Pagado
MsgReceiptCashLogCheckOutPayInAmount,Monto Recibido
MsgReceiptCashLogCheckOutCoinsDispensed,Monedas Entregadas
MsgReceiptCashLogCheckOutCashTransactions,Transacciones en efectivo
MsgReceiptCashLogCheckOutExpectedCashInTill,Efectivo previsto en Caja
MsgReceiptCashLogCheckOutEndingCashTotal,Efectivo Total Final
MsgReceiptCashLogCheckOutDifference,Diferencia
MsgReceiptCashLogCheckOutBankDrop,Deposito Bancario
MsgReceiptCashLogOpenedBy,Abierto por
MsgReceiptCashLogHeldBy,Realizado por
MsgReceiptCashLogClosedBy,Cerrado por
MsgReceiptCashLogPayOut,Salida
MsgReceiptCashLogPayIn,Ingreso
MsgReceiptMadeBy,Hecho por
MsgTillsOwnedBy,propiedad de
MsgReceiptGiftCardCertificateNumber,Numero de Tarj. Regalo
MsgReceiptGiftCardAuthNumber,Numero de Autorizacion
MsgReceiptGiftCardLoadAmount,Cantidad a cargar
MsgReceiptGiftCardLoadBonusAmount,Cargar Dinero extra añadido
MsgReceiptGiftCardLoadBonusPercentage,% Bonus
MsgReceiptGiftCardOriginalBalance,Balance original
MsgReceiptGiftCardBalance,Saldo
MsgReceiptSafeDrop,Depósito de caja fuerte
MsgReceiptBankDropAmountOfDropTotal,Total Dep. Bancario
MsgReceiptBankDropSignedBy,Firmado Por:
MsgReceiptOfflineMode,MODO FUERA DE LINEA
MsgReceiptSaveYourReceipt,FAVOR GUARDE EL RECIBO
MsgReceiptClockInTime,Hora de entrada
MsgReceiptClockOutTime,Hora de salida
MsgReceiptPresentReceiptToManager,PRESENTE EL RECIBO AL SUPERVISOR
MsgTimeSheetOfflineMode,Usted está en modo sin conexión. \n Guarde su recibo.
MsgReceiptHotspotTitle,Codigo de punto de acceso
MsgReceiptHotspotCode,Codigo
MsgReceiptHotspotDuration,Duracion (Minutos)
MsgReceiptCheckInTimeCheckIn,Hora de entrada
MsgReceiptCheckInTimeCheckOut,Hora de salida
MsgReceiptCheckInCheckIn,Entrada marcada
MsgReceiptCheckInCheckOut,Salida marcada
MsgReceiptCheckInCheckInError,Error: El empleado no marco salida en\nturno anterior
MsgReceiptCheckInCheckOutError,Error: El empleado no marco entrada en\nturno anterior
MsgReceiptOther,Otros
MsgReceiptCurrencyPlural,Dolares
MsgReceiptCurrencySingular,Dolar
MsgReceiptCurrencyTitlePlural,Monedas
MsgReceiptDatetime,Fecha Hora
MsgReceiptPersonLoggedIn,Persona con sesión iniciada
MsgReceiptPrinter,Impresora
MsgReceiptOriginal,Original
MsgReceiptRemaining,Restantes
MsgReceiptOrder,Factura
MsgReceiptInvoice,Factura
MsgReceiptEmployee,Empleado
MsgReceiptRole,Puesto
MsgReceiptName,Nombre
MsgReceiptDate,Fecha
MsgReceiptTime,Hora
MsgReceiptHours,Horas
MsgReceiptTotalHours,Horas totales
MsgReceiptCallNumber,Call Numero
MsgReceiptCallName,Call Nombre
MsgReceiptTable,Mesa
MsgReceiptBarTab,Cuenta de Bar
MsgReceiptCustomer,Cliente
MsgReceiptCustomerShort,Cliente
MsgReceiptServer,Salonero
MsgReceiptTransaction,Transaccion
MsgReceiptPaidWith,Pagado Con
MsgReceiptBill,Cuenta
MsgReceiptTotal,Total
MsgReceiptExchangeValue,Valor de intercambio
MsgReceiptReturnValue,Devuelto
MsgReceiptAppliedDeposit,Depósito aplicado
MsgReceiptSumTotal,Suma Total
MsgReceiptSumTotal2,Monto total:
MsgReceiptServiceCharge,Cargo x Servicio
MsgReceiptOnlineTip,Conectado
MsgReceiptReceiptServiceCharge,Recibo del cargo por servicio
MsgReceiptCash,Efectivo
MsgReceiptCredit,Credito
MsgReceiptPreAuth,Autenticación previa 
MsgReceiptTermID,ID de term
MsgReceiptAuthCode,Código de autorización
MsgReceiptSeq,Sec
MsgReceiptAccountNumber,Número de cuenta
MsgReceiptEntryMethod,Método de entrada
MsgReceiptCardBrand,Marca de tarjeta
MsgReceiptGiftCard,Tarj. Regalo
MsgReceiptRewardCard,Tarjeta de recompensa
MsgReceiptCreditCard,Tarjeta de credito
MsgReceiptCreditPlus,Credito +
MsgReceiptDeposit,Deposito
MsgReceiptCheck,Cheque
MsgReceiptGiftCert,Cert Reg
MsgReceiptGift,Regalo
MsgReceiptTax,Impuesto
MsgReceiptTip,Propina
MsgReceiptIndex,Índice
MsgReceiptDiscount,Descuento
MsgReceiptStation,Estacion
MsgReceiptPrintedAt,Imprimir en
MsgReceiptSpecialRequest,Orden especial
MsgReceiptSpecialInstructon,Instrucciones especiales
MsgReceiptSignatureAndTotal,Firma y total
MsgReceiptReceiptOptions,Opciones de recibo
MsgReceiptReceiptHowWouldYouLike,¿Cómo le gustaría recibir su recibo?
MsgReceiptSignature,Firma
MsgReceiptCashier,Cajero
MsgReceiptReportPrintedBy,Recibo Impreso
MsgReceiptAgreementLine1,Acepto pagar la cantidad arriba especificada.
MsgReceiptAgreementLine2,En acuerdo al contrato de tarjeta habiente
MsgReceiptBreakdown,Desglose
MsgReceiptBreakdownNet,NETO
MsgReceiptBreakdownTax,IMPUESTO
MsgReceiptBreakdownGross,Bruto
MsgReceiptSeatCount,CantAsientos
MsgReceiptNotes,NOTAS
MsgReceiptTableOwner,Dueno de mesa
MsgReceiptTakenBy,Tomada Por
MsgReceiptGiftCardNumber,Numero Cert Reg
MsgReceiptRewardCardNumber,Tarjeta premio #
MsgReceiptUnknown,Ignorado
MsgReceiptCardBalance,Balance de Tarjeta
MsgReceiptPointBalance,Indicar saldo
MsgReceiptVisitsBalance,Balance de visitas
MsgReceiptPurchasesBalance,Balance de compras
MsgReceiptAuthNumber,Numero Autor.
MsgReceiptSaleAmount,Total venta
MsgReceiptBalanceUsed,Balance utilizado
MsgReceiptBalanceDue,Saldo a pagar
MsgReceiptOrderBalanceDue,Balance de Orden Vencido
MsgReceiptOrderBalanceDueCut,Pedido a pagar
MsgReceiptCustomerPaid,Modo de Pago:
MsgReceiptCustomerChange,Cambio:
MsgReceiptDeliverTo,Llevar a:
MsgReceiptTotalTax,Total Imp
MsgReceiptCashRoundingDelta,Delta de redondeo
MsgReceiptSeat,Silla
MsgReceiptOfSale,de venta:
MsgReceiptSuggestedTips,Propina Sugerida
MsgReceiptIncluded,Incluida
MsgReceiptPayPal,PayPal
MsgReceiptTipIncludesAutoGratuity,La propina incluye la propina automática:
MsgReceiptAwardedPoints,Puntos apremiados
MsgReceiptNewProducts,Nuevos productos
MsgReceiptNewProductsName,Nombre
MsgReceiptNewProductsBarcode,Codigo de barra
MsgReceiptNewProductsUnitOfMeasure,Unidad de medida
MsgReceiptNewProductsInventoryQuantity,Cantidad de inventario
MsgReceiptNewProductsPrice,Precio
MsgReceiptNewProductsTax,Impuesto
MsgReceiptNewProductsEmbedded,Incrustado
MsgReceiptNewProductsSoldByWeight,Vendido por peso
MsgReceiptNewProductWouldYouLike,¿Desea crear un nuevo producto con el código de barras sin coincidencias?
MsgReceiptReceiptlessReturnReceiptTotalCash,Total Efec:
MsgReceiptReceiptlessReturnReceiptTotalCredit,Total Credito en Tienda:
MsgReceiptReceiptlessReturnReceiptProductName,Producto
MsgReceiptReceiptlessReturnReceiptReturn,Devolucion
MsgReceiptReceiptlessReturnReceiptTax,Impuesto
MsgReceiptReceiptlessReturnReceiptTotal,Total
MsgReceiptDelivery,A Domicilio
MsgReceiptDeliveryDate,Fecha del Domicilio
MsgReceiptCustomerCopy,Copia del cliente
MsgReceiptMerchantCopy,Copia del comercio
MsgReceiptEach,cada
MsgReceiptTaxOnSurchargeFormat,%@ en %@
MsgReceiptSurcharge,Recargo
MsgReceiptUntaxed,No gravado
MsgReceiptMiscTax,Varios
MsgReceiptPrevailingTax,Impuesto vigente
MsgReceiptTaxBreakdownTitle,Ruptura de tax
MsgReceiptTaxBreakdownTotal,Total
MsgReceiptTaxBreakdownRate,Tasa
MsgReceiptTaxRebate,Devolución fiscal
MsgReceiptBadgeTotal,El pedido fue autorizado y será agregado a la cuenta individual del responsable del grupo.\nTotal actual del grupo: %@
MsgReceiptVatNumber,Número de IVA
MsgReceiptYouSaved,Usted ahorró
MsgReceiptPriceIncludesTaxes,El precio incluye impuestos
MsgReceiptTotalTaxesCollected,Total de impuestos cobrados:
MsgWaitingForTipSelection,Esperando selección de propina
MsgWaitingForSignature,Esperando firma
MsgWaitingForRedeemRewards,Esperando que el cliente elija la recompensa
MsgWaitingForReceiptSelection,Esperando la selección del recibo
MsgWaitingForEmailEntry,Esperando el ingreso del correo electrónico
MsgOverridingTheDisplayUnit,Al anular la pantalla se redirigirá al cliente con indicaciones hacia el POS. ¿Desea continuar?
MsgCall,# de referencia
MsgReceiptOriginalReceipt,Recibo original
MsgReceiptOnSpotGift,Regalo on-spot
MsgReceiptCancelledOrder,Pedido cancelado
MsgReceiptTotalRedeemedPoints,Total de puntos redimidos
MsgReceiptYourCurrentBalance,Tu balance actual
MsgReceiptOrderNumber,Pedido #%@
MsgReceiptMoved,MOVIDO
MsgReceiptMovedTo,movido a 
MsgReceiptToDestination,A DESTINACIÓN
MsgReceiptPaymentTotal,Registro de pago
MsgReceiptProductForecastingStartOfReport,Imprimir Informes fiscales
MsgReceiptProductForecastingEndOfReport,Fin del Mes
MsgReceiptProductForecastingTotalsForDay,Totales de Data
MsgReceiptProductForecastingNextDay,Siguiente
MsgReceiptProductForecastingPrior,Prioritario
MsgReceiptProductForecastingNotificationBody,Imprimir Informe
MsgReceiptProductForecastingStartOfDay,Fecha Inicio
MsgReceiptProductForecastingTimeSlot,Bloque de tiempo
MsgBarTabTitle,Cuenta Bar #%d
MsgBarTabsTitle,Cuenta Bar%@
MsgBarTabsFindTitle,Encuentra cuenta bar
MsgOrderSelectTitle,Seleccionar pedido
MsgBarTabsFindPlaceholder,Ingrese cuenta bar # o nombre del cliente
MsgBarTabsFindNoResults,No se encontro cuenta bar
MsgBarTabsFindNoResultsOpenNewTab,No se encontro cuenta bar. Abrir una nueva?
MsgTablesFindNoResultsSelectAvailableTable,Seleccionar una mesa disponible
MsgBarTabsSearchPlaceholder,"Ingresa Pestaña #, Nombre de cliente, ID de Pedido"
BtnBarTabsOpen,Abrir cuenta bar
BtnBarTabsFind,Encuentra cuenta bar
BtnBarTabsBarcode,Código de barras de cuenta individual
MsgCustomersHome,Inicio
MsgCustomersOffice,Oficina
MsgSelectOrderType,Seleccione tipo de orden
MsgOrderTypeAll,Mostrar todas las ordenes
MsgOrderTypeHouse,Mostrar cuentas de credito solamente
MsgOrderTypeInvoices,Mostrar facturas pendientes
MsgOrderTypeHouseTitle,Credito Clientes
MsgOrderFilterPaid,Pagado
MsgOrderFilterBilled,Facturado
MsgOrderListTitle,Ordenes
MsgOrderListTitleWithCustomerName,Pedidos de %@
MsgOrderListTitleLoading,Cargando Ordenes..
MsgOrderInvoicesListTitleLoading,Cargando facturas...
MsgCustomersUpdateCCInfo,Actualizar la info de Tarjeta de credito
MsgOrderInvalidEstablishment,Abrir cuentas de otros establecimientos no esta permitido
MsgOrderSelectOrder2,Seleccione una orden
MsgOrderDoNotExist,No existen ordenes para este cliente
MsgInvoiceDoNotExist,Este cliente no tiene facturas.
MsgReceiptInvoiceBalanceDue,Saldo a pagar de la factura
MsgCateringTitleLoading,Catering Delivery - Loading...
MsgCateringTitle,Entrega de catering
MsgCateringTitleCustomerAndCallName,Nombre del cliente/identificador
MsgCateringTitleProduct,Producto
MsgCateringComplete,Completo
MsgCateringQuantity,Cant.
MsgCateringTitleCateringDate,Fecha del Domicilio
MsgCateringFilter,Show records for
MsgCateringCompleteTitle,Complete Order
MsgCateringCompleteSelected,Complete selected
MsgCateringCompleteAll,Complete all
BtnCateringShowComplete,Show Complete
BtnCateringShowActive,Show Active
BtnCateringComplete,Completo
BtnCateringCompleting,Completando
CmtCateringCompleted,Completado
BtnCateringApplyToOrder,Aplicar al pedido
BtnCateringApplyToItems,Aplicar a artículo(s)
MsgCateringSerialNumberMissing,Artículos en esta entrega no tienen números de serie. Por favor añade números de serie antes de continuar.
